"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Nolan Ryan","40.0","5.2","-10.7","-5.5","404.3","45.5","","1011348"
"Chuck Finley","49.6","-0.1","4.9","4.8","444.9","44.8","","384"
"Mike Witt","25.7","-2.7","-6.1","-8.8","324.6","34.5","","1014174"
"Jered Weaver","42.5","12.4","-1.3","11.1","298.6","31.4","$203.9","4235"
"Frank Tanana","33.7","1.8","1.2","3.0","276.8","30.7","","1012818"
"John Lackey","28.9","-2.3","4.1","1.8","266.4","27.1","$136.2","1507"
"Mark Langston","24.7","2.4","-3.6","-1.2","250.0","25.9","","1007323"
"Dean Chance","23.6","0.1","0.9","1.0","204.1","22.6","","1002130"
"Kirk McCaskill","17.3","1.3","-1.5","-0.2","165.4","17.5","","1008382"
"Jim Abbott","14.3","-3.0","-0.1","-3.1","162.0","17.3","","1000012"
"Ervin Santana","17.0","4.7","-2.7","2.0","147.5","15.0","$89.2","3200"
"Jarrod Washburn","24.1","7.2","2.5","9.7","145.9","14.3","$39.7","40"
"Andy Messersmith","15.8","6.1","-4.7","1.4","126.9","14.3","","1008799"
"Kelvim Escobar","14.5","0.2","0.3","0.5","138.2","14.1","$68.8","1298"
"Rudy May","8.5","1.4","-5.5","-4.1","114.7","12.7","","1008310"
"Garrett Richards","10.4","3.1","-3.8","-0.7","101.6","11.2","$86.6","9784"
"Geoff Zahn","12.0","1.6","-0.5","1.1","104.3","10.9","","1014410"
"George Brunet","14.4","4.5","0.3","4.8","85.2","9.6","","1001590"
"Dan Haren","8.8","1.4","-2.1","-0.7","87.3","9.4","$66.9","1757"
"Bill Singer","6.5","0.5","-3.3","-2.8","83.1","9.3","","1012007"
"Clyde Wright","14.7","5.5","0.3","5.8","81.4","8.9","","1014272"
"Bert Blyleven","6.9","-0.7","-0.7","-1.5","76.5","8.4","","1001098"
"Ken Forsch","9.9","3.0","-1.2","1.8","76.6","8.1","","1004234"
"Matt Shoemaker","7.8","0.0","0.0","0.0","72.7","7.8","$61.4","4776"
"Fred Newman","8.0","0.1","0.2","0.2","70.6","7.8","","1009542"
"C.J. Wilson","6.9","0.7","-1.3","-0.6","71.6","7.5","$54.3","3580"
"Jim McGlothlin","6.2","-1.1","-0.2","-1.3","65.9","7.5","","1008532"
"Tyler Skaggs","4.8","-1.6","-1.0","-2.5","70.6","7.3","$57.8","10190"
"Ken McBride","8.3","2.1","-1.0","1.1","69.6","7.3","","1008344"
"Bartolo Colon","6.0","0.1","-0.8","-0.6","67.3","6.7","$31.7","375"
"Ramon Ortiz","8.3","3.2","-1.6","1.7","69.6","6.6","$12.1","27"
"John Candelaria","4.7","0.0","-1.7","-1.7","61.1","6.4","","1001909"
"Andrew Heaney","5.6","-0.2","-0.5","-0.7","59.7","6.3","$50.1","15423"
"Tommy John","3.6","-4.0","1.4","-2.5","59.5","6.1","","1006515"
"Joe Saunders","9.0","1.4","1.5","3.0","61.6","6.1","$35.7","4366"
"Dave Frost","5.9","1.6","-1.2","0.4","53.6","5.5","","1004376"
"Ed Figueroa","6.0","0.6","-0.1","0.5","50.0","5.4","","1004037"
"Paul Hartzell","2.9","-0.9","-1.0","-1.9","45.3","4.8","","1005467"
"Tom Murphy","5.9","1.7","-0.5","1.2","42.0","4.6","","1009376"
"Marcelino Lopez","4.2","-0.1","0.1","-0.1","38.8","4.3","","1007757"
"Ron Romanick","5.0","0.9","0.1","1.0","39.9","4.0","","1011168"
"Don Lee","3.4","-0.2","-0.3","-0.6","38.1","4.0","","1007453"
"Scott Schoeneweis","2.7","0.9","-2.1","-1.2","42.5","4.0","$1.2","33"
"Bruce Kison","3.4","0.5","-1.0","-0.6","38.2","4.0","","1006978"
"Bo Belinsky","4.4","0.4","0.1","0.5","37.8","3.9","","1000791"
"Don Aase","2.9","-2.1","1.1","-1.0","38.8","3.9","","1000003"
"Ted Bowsfield","2.4","-0.3","-0.9","-1.2","35.6","3.6","","1001273"
"Don Sutton","6.8","3.1","0.2","3.4","35.1","3.4","","1012745"
"Omar Olivares","5.3","0.7","1.3","2.0","35.7","3.3","","1009771"
"Paul Byrd","3.6","0.5","-0.2","0.3","32.6","3.3","$15.6","594"
"Julio Valera","2.5","-0.8","0.0","-0.8","30.5","3.3","","1013331"
"Gary Ross","2.4","-1.0","0.2","-0.9","29.5","3.3","","1011230"
"Ken Hill","4.6","0.1","1.3","1.4","33.3","3.2","","1005827"
"Kevin Appier","3.6","0.0","0.9","0.8","27.5","2.7","$10.7","3"
"Joel Pineiro","2.3","-1.0","0.6","-0.4","26.3","2.7","$17.2","1094"
"Jason Dickson","1.6","-1.7","0.7","-1.0","28.1","2.6","","1003278"
"Andy Hassler","-0.4","-0.7","-2.3","-3.1","24.8","2.6","","1005480"
"Phil Leftwich","2.1","0.0","-0.5","-0.4","26.6","2.5","","1007479"
"Scott Sanderson","1.1","-1.1","-0.4","-1.4","25.2","2.5","","1011422"
"Eli Grba","2.1","0.7","-1.1","-0.4","25.3","2.5","","1004979"
"Griffin Canning","2.5","0.3","-0.1","0.2","22.7","2.2","$17.7","19867"
"Steve Renko","1.4","-0.4","-0.4","-0.8","21.0","2.2","","1010835"
"Dylan Bundy","1.5","0.2","-0.7","-0.5","18.8","2.0","$15.8","12917"
"Ismael Valdez","2.6","-0.2","0.8","0.6","20.2","2.0","","1283"
"Steve Sparks","2.9","0.8","0.1","1.0","20.9","2.0","","499"
"Chris Knapp","-1.5","-0.2","-3.3","-3.4","18.7","1.9","","1007026"
"Shawn Boskie","1.2","0.4","-1.1","-0.7","21.1","1.9","","1001213"
"Aaron Sele","1.5","-1.1","0.7","-0.4","19.0","1.8","$7.3","34"
"Ricky Nolasco","3.0","0.2","1.1","1.3","17.1","1.7","$13.7","3830"
"Jim Barr","1.5","-0.7","0.5","-0.2","17.2","1.7","","1000606"
"Allen Watson","0.6","-0.7","-0.4","-1.1","18.1","1.7","","1013675"
"Jason Vargas","2.1","-0.5","0.9","0.4","15.8","1.7","$12.4","8044"
"Felix Pena","1.2","0.4","-0.9","-0.4","16.0","1.6","$13.1","13403"
"Jerome Williams","1.3","-0.3","-0.1","-0.3","15.4","1.6","$11.3","1137"
"Hector Santiago","3.7","2.9","-0.8","2.1","15.9","1.6","$12.7","4026"
"Jim Slaton","1.1","-0.3","-0.2","-0.4","15.4","1.5","","1012054"
"Scot Shields","1.1","-0.3","-0.1","-0.4","14.0","1.5","$5.9","35"
"Zack Greinke","2.1","0.3","0.4","0.7","13.6","1.4","$9.3","1943"
"Jaime Barria","3.7","1.5","0.9","2.4","13.0","1.4","$10.9","18356"
"Dustin Moseley","0.4","-1.8","0.9","-0.9","13.1","1.4","$8.1","7060"
"Don Kirkwood","-1.2","-0.9","-1.7","-2.5","12.0","1.3","","1006972"
"Jon Garland","1.3","-0.7","0.7","0.0","13.4","1.3","$8.1","232"
"Tom Bradley","0.0","-0.9","-0.4","-1.3","12.0","1.3","","1001316"
"Pat Rapp","1.5","1.3","-1.0","0.2","13.3","1.3","","1010700"
"Terry Clark","-0.2","-1.8","0.3","-1.4","11.9","1.3","","1002312"
"Alex Meyer","1.4","0.7","-0.5","0.2","12.2","1.2","$9.8","12833"
"Joe Grahe","-0.7","-1.3","-0.6","-1.9","11.7","1.2","","1004939"
"Nick Tropeano","2.3","-0.1","1.2","1.1","10.1","1.1","$9.1","12385"
"Aubrey Gatewood","2.5","0.6","0.8","1.4","10.4","1.1","","1004573"
"Jack McDowell","0.4","-1.0","0.4","-0.6","10.8","1.0","","1008473"
"Matt Palmer","0.4","0.3","-1.0","-0.6","10.3","1.0","$6.9","4457"
"Rick Steirer","0.1","-0.3","-0.6","-0.9","8.9","1.0","","1012474"
"Ron Kline","0.6","-0.9","0.5","-0.4","9.6","1.0","","1007004"
"Bob Turley","0.6","0.1","-0.5","-0.4","8.9","1.0","","1013225"
"Alfredo Martinez","0.7","0.6","-0.9","-0.3","9.5","1.0","","1008151"
"Luis Tiant","0.1","-0.7","-0.2","-0.9","8.6","1.0","","1013054"
"Brian Anderson","1.1","0.5","-0.3","0.2","9.3","0.9","","44"
"Jason Grimsley","-0.7","-0.2","-1.4","-1.6","10.2","0.9","","602"
"Jhoulys Chacin","0.3","-0.5","-0.2","-0.6","8.9","0.9","$7.2","2608"
"Shohei Ohtani","0.8","0.1","-0.2","-0.1","8.3","0.9","$7.1","19755"
"Ryne Duren","-0.6","-0.2","-1.2","-1.5","8.8","0.9","","1003586"
"Ken Brett","0.6","-0.1","-0.1","-0.3","8.6","0.8","","1001402"
"Jack Hamilton","1.4","-0.2","0.8","0.5","7.5","0.8","","1005274"
"Trevor Bell","-0.6","-1.4","0.0","-1.4","7.7","0.8","$5.0","7074"
