"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Eddie Plank","78.9","3.9","17.2","21.1","505.7","57.8","","1010385"
"Lefty Grove","69.8","3.3","12.2","15.5","537.5","54.3","","1005099"
"Chief Bender","48.5","2.3","3.8","6.1","353.5","42.3","","1000827"
"Rube Waddell","45.7","-2.7","6.5","3.9","348.7","41.9","","1013467"
"Vida Blue","38.0","9.0","-7.6","1.4","317.9","36.6","","1001094"
"Catfish Hunter","40.2","16.2","-3.6","12.6","244.1","27.6","","1006199"
"Tim Hudson","32.8","5.2","0.1","5.2","273.1","27.6","$62.8","921"
"Eddie Rommel","44.2","11.4","6.5","17.9","271.7","26.3","","1011174"
"Rube Walberg","30.6","3.9","2.3","6.2","255.3","24.4","","1013501"
"Barry Zito","32.9","11.8","-2.7","9.0","238.1","23.8","$71.4","944"
"Dave Stewart","24.8","4.6","-2.9","1.7","220.7","23.0","","1012519"
"Alex Kellner","12.2","-4.3","-2.4","-6.6","181.6","18.8","","1006785"
"Mark Mulder","20.4","1.8","0.8","2.7","175.0","17.7","$44.8","932"
"George Earnshaw","20.7","3.6","-0.5","3.1","184.6","17.6","","1003633"
"Ken Holtzman","18.7","4.8","-2.7","2.1","149.9","16.6","","1005989"
"Bobby Shantz","16.5","-1.0","1.5","0.4","150.8","16.0","","1011804"
"Slim Harriss","11.8","-2.0","-1.3","-3.4","155.8","15.1","","1005431"
"Jack Coombs","26.6","5.3","6.4","11.8","129.0","14.8","","1002583"
"Rick Langford","11.5","0.8","-3.8","-3.0","138.7","14.5","","1007319"
"Jack Quinn","15.9","-0.9","2.3","1.5","144.8","14.5","","1010605"
"Rich Harden","13.8","1.5","-0.5","1.0","123.2","12.7","$62.4","1772"
"Dan Haren","13.4","2.1","-1.0","1.2","121.0","12.2","$62.0","1757"
"Joe Blanton","11.4","1.1","-1.8","-0.7","119.9","12.1","$64.1","4849"
"Sonny Gray","12.8","3.1","-2.2","0.9","110.6","11.9","$93.4","12768"
"Rollie Naylor","6.0","-4.6","-1.2","-5.8","115.2","11.8","","1009470"
"Jesse Flores","14.5","3.9","-0.7","3.3","101.5","11.3","","1004170"
"Brett Anderson","10.9","-0.1","-0.1","-0.2","108.4","11.1","$76.3","8223"
"Jim Nash","12.5","0.0","1.9","1.9","90.0","10.6","","1009458"
"Chuck Dobson","10.3","0.0","-0.1","-0.1","95.2","10.5","","1003343"
"Mike Moore","12.7","3.5","-1.2","2.2","98.2","10.4","","1009122"
"Ray Herbert","7.1","-2.6","-0.8","-3.3","98.8","10.4","","1005684"
"Russ Christopher","8.5","0.5","-2.3","-1.9","92.5","10.3","","1002222"
"Joe Bush","6.4","0.0","-3.5","-3.5","85.4","9.9","","1001754"
"Lou Brissie","9.4","-0.4","-0.1","-0.5","98.8","9.8","","1001442"
"Dick Fowler","12.2","-0.4","3.0","2.6","92.3","9.6","","1004270"
"Diego Segui","8.1","0.4","-1.4","-1.1","86.5","9.2","","1011725"
"Scott Perry","12.4","-0.1","3.6","3.5","81.8","8.9","","1010216"
"Bobo Newsom","9.6","-0.5","1.2","0.7","79.2","8.8","","1009546"
"Bob Welch","14.2","3.8","1.6","5.4","83.4","8.8","","1013750"
"Jimmy Dygert","8.3","1.6","-1.8","-0.2","69.4","8.5","","1003616"
"Blue Moon Odom","11.2","3.4","-0.7","2.7","75.5","8.5","","1009726"
"George Caster","5.9","0.9","-3.4","-2.4","90.3","8.4","","1002055"
"Dallas Braden","6.2","0.3","-2.2","-2.0","79.4","8.2","$50.7","8099"
"Mike Norris","11.6","10.3","-6.9","3.4","76.0","8.2","","1009637"
"Johnny Marcum","7.8","0.9","-1.1","-0.2","83.3","8.0","","1008103"
"Dolly Gray","8.1","-0.2","0.4","0.2","81.9","7.9","","1004969"
"Matt Keough","7.5","2.3","-2.6","-0.4","73.3","7.8","","1006858"
"Sean Manaea","9.0","1.8","-0.6","1.2","77.5","7.8","$62.5","15873"
"Ron Darling","4.5","0.7","-3.4","-2.8","74.0","7.3","","1002989"
"Roy Mahaffey","7.5","0.4","-0.1","0.4","75.3","7.1","","1007981"
"Gil Heredia","6.0","0.4","-1.5","-1.1","74.4","7.1","","1005686"
"Ned Garver","8.6","4.3","-2.6","1.7","66.4","6.9","","1004556"
"Kenny Rogers","8.2","1.7","-0.5","1.3","70.3","6.9","","1277"
"Joe Coleman","5.8","-3.1","2.1","-1.0","66.1","6.8","","1002427"
"Orlando Pena","5.4","-1.2","-0.2","-1.4","63.0","6.8","","1010150"
"Steve Ontiveros","7.1","2.9","-2.5","0.4","68.7","6.7","","1009826"
"Gio Gonzalez","8.0","0.3","1.1","1.3","62.8","6.7","$45.8","7448"
"Howard Ehmke","10.0","3.5","-0.2","3.3","66.5","6.7","","1003707"
"Bob Hasty","2.9","-0.9","-2.8","-3.7","68.7","6.6","","1005485"
"Phil Marchildon","13.0","8.1","-1.7","6.4","63.3","6.6","","1008102"
"Bartolo Colon","9.2","0.6","2.0","2.6","60.5","6.6","$46.3","375"
"Andy Coakley","4.5","-1.2","-0.7","-1.9","55.1","6.4","","1002372"
"Trevor Cahill","10.7","3.7","0.5","4.3","62.4","6.4","$45.7","6249"
"Bud Daley","5.4","-1.8","1.0","-0.9","61.3","6.3","","1002942"
"Cory Lidle","7.3","2.3","-1.3","1.1","62.5","6.3","$14.4","926"
"Steve McCatty","11.5","5.4","-0.1","5.3","60.0","6.2","","1008383"
"Fred Heimach","2.4","-2.7","-0.8","-3.5","59.6","5.9","","1005591"
"Scott Kazmir","6.4","1.4","-0.8","0.7","52.1","5.8","$44.9","4897"
"Harry Krause","10.5","1.8","3.0","4.9","48.0","5.6","","1007143"
"Harry Byrd","2.8","-4.5","1.8","-2.7","51.8","5.5","","1001793"
"Roger Wolff","5.0","-0.9","0.6","-0.3","48.5","5.4","","1014193"
"Chris Bassitt","6.9","0.9","0.6","1.5","52.8","5.4","$42.9","12304"
"Rube Vickers","3.8","0.4","-1.9","-1.5","40.9","5.3","","1013422"
"Brian Kingman","4.1","0.3","-1.4","-1.1","51.4","5.2","","1006938"
"Ralph Terry","3.2","-0.8","-1.2","-2.0","48.8","5.2","","1012929"
"Buck Ross","1.1","0.7","-4.7","-4.0","57.1","5.2","","1011224"
"Ed Rakow","4.1","-1.2","0.3","-0.9","48.7","5.1","","1010661"
