"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Roy Halladay","53.9","3.5","1.9","5.4","459.4","48.6","$222.9","1303"
"Dave Stieb","60.9","16.2","1.3","17.5","409.7","43.4","","1012532"
"Jimmy Key","35.5","7.2","0.0","7.2","268.7","28.4","","1006885"
"Jim Clancy","29.2","2.1","-1.1","1.0","274.3","28.2","","1002255"
"Juan Guzman","21.0","3.4","-5.0","-1.6","220.6","22.6","","1005162"
"Pat Hentgen","27.4","5.4","2.0","7.4","209.4","20.0","($2.1)","145"
"Roger Clemens","21.0","1.8","0.2","2.1","172.3","18.9","","815"
"David Wells","13.3","0.1","-2.8","-2.7","160.0","16.0","","855"
"Marcus Stroman","14.3","-1.5","0.9","-0.6","141.6","14.9","$117.6","13431"
"Todd Stottlemyre","11.0","-0.7","-0.7","-1.3","121.2","12.3","","75"
"Kelvim Escobar","9.7","-0.9","-0.7","-1.5","113.3","11.2","$14.1","1298"
"J.A. Happ","11.4","1.5","-1.2","0.2","106.9","11.2","$86.6","7410"
"Doyle Alexander","15.8","1.4","3.4","4.8","105.4","11.0","","1000122"
"A.J. Burnett","9.9","0.6","-0.9","-0.2","99.4","10.2","$57.5","512"
"Luis Leal","11.0","0.6","0.5","1.1","95.4","9.9","","1007431"
"Chris Carpenter","7.5","-3.7","1.3","-2.4","102.4","9.9","$2.1","1292"
"Ricky Romero","11.7","0.5","2.3","2.9","85.7","8.8","$57.8","3403"
"Brandon Morrow","4.5","-0.9","-3.0","-3.9","79.4","8.4","$56.7","9346"
"Mark Buehrle","8.8","-0.9","1.8","1.0","72.8","7.9","$60.2","225"
"Marco Estrada","9.2","5.8","-4.2","1.7","74.1","7.5","$60.4","1118"
"Shaun Marcum","11.7","4.2","1.0","5.1","64.4","6.5","$38.7","6204"
"Dave Lemanczyk","3.8","-1.7","-0.7","-2.5","61.0","6.2","","1007511"
"R.A. Dickey","9.5","6.1","-2.8","3.3","59.8","6.2","$47.8","1245"
"Esteban Loaiza","3.8","-3.2","0.8","-2.4","62.9","6.1","$9.0","1310"
"Al Leiter","6.3","0.0","0.2","0.2","63.3","6.1","","883"
"Josh Towers","5.0","-1.9","1.3","-0.6","55.4","5.6","$26.0","1489"
"Ted Lilly","7.7","2.3","-0.2","2.1","57.1","5.5","$24.8","833"
"Jack Morris","1.9","-0.6","-2.9","-3.5","52.3","5.4","","1009211"
"Dustin McGowan","3.6","0.4","-2.2","-1.8","52.7","5.4","$31.5","8600"
"Jim Gott","2.6","-1.3","-1.5","-2.8","51.0","5.3","","1004898"
"Aaron Sanchez","6.1","0.5","0.7","1.1","48.8","5.0","$39.8","11490"
"Mike Flanagan","6.0","0.0","1.2","1.2","45.6","4.8","","1004133"
"Tom Underwood","5.2","-0.2","0.7","0.5","46.3","4.7","","1013281"
"Drew Hutchison","2.0","-1.2","-1.2","-2.4","40.6","4.4","$33.2","10732"
"Jesse Jefferson","3.7","0.1","-0.4","-0.3","38.6","3.9","","1006380"
"David Cone","5.3","1.3","0.2","1.5","37.6","3.8","","1680"
"Woody Williams","7.7","3.5","0.5","3.9","40.3","3.7","","1190"
"Dave Bush","3.9","1.0","-0.3","0.7","31.4","3.1","$13.7","4635"
"Brett Cecil","3.3","-0.3","0.4","0.2","30.5","3.1","$19.5","2660"
"Jesse Litsch","5.3","2.0","0.5","2.5","28.9","2.9","$17.9","3688"
"Tom Candiotti","3.5","0.6","0.1","0.7","26.5","2.9","","1001911"
"Joey Hamilton","0.8","-2.1","0.1","-2.1","30.1","2.8","","328"
"Gustavo Chacin","5.8","1.6","1.5","3.1","26.6","2.8","$12.6","2060"
"Erik Hanson","1.2","-1.5","0.1","-1.5","28.9","2.6","","1005333"
"David Price","2.8","0.2","0.0","0.1","22.4","2.6","$21.0","3184"
"Jerry Garvin","2.3","-1.2","0.9","-0.2","25.0","2.5","","1004558"
"Joe Johnson","1.9","-0.5","-0.1","-0.6","24.2","2.5","","1006473"
"Mark Hendrickson","1.5","-0.8","-0.2","-0.9","24.0","2.4","$10.0","1574"
"Cory Lidle","0.1","-0.5","-1.7","-2.2","23.7","2.3","$9.9","926"
"John Cerutti","6.7","1.8","3.0","4.7","18.7","2.0","","1002106"
"Frank Castillo","4.0","1.8","0.3","2.1","21.1","2.0","","180"
"Hyun-Jin Ryu","2.3","-0.2","0.5","0.3","18.7","1.9","$15.6","14444"
"Carlos Villanueva","1.5","0.1","-0.4","-0.3","18.0","1.9","$13.4","4138"
"Trent Thornton","0.8","-1.1","0.1","-1.0","18.1","1.7","$13.9","17948"
"Dave Stewart","2.6","1.0","-0.1","0.9","18.0","1.7","","1012519"
"Miguel Batista","2.1","0.4","0.0","0.5","17.4","1.6","$6.9","46"
"Ryan Borucki","0.8","-0.3","-0.4","-0.7","14.7","1.5","$12.4","16350"
"Francisco Liriano","0.8","-0.2","-0.5","-0.7","14.5","1.5","$11.6","3201"
"Scott Richmond","0.7","-0.3","-0.4","-0.7","13.7","1.4","$8.7","4307"
"Balor Moore","0.1","-0.5","-0.8","-1.3","13.5","1.4","","1009090"
"Jeff Musselman","1.5","0.2","-0.1","0.2","12.9","1.4","","1009407"
"Brian Tallet","0.6","0.2","-1.0","-0.8","13.6","1.3","$8.7","1646"
"Jose Nunez","0.7","-0.5","-0.2","-0.6","12.8","1.3","","1009659"
"Scott Downs","0.4","-0.9","0.0","-0.9","12.3","1.2","$5.9","773"
"Pete Vuckovich","0.7","-0.7","0.2","-0.5","11.6","1.2","","1013461"
"Marc Rzepczynski","1.5","-0.3","0.7","0.4","11.6","1.1","$7.2","6612"
"Joe Biagini","-0.9","-0.7","-1.2","-2.0","10.6","1.1","$8.4","13194"
"Casey Janssen","0.5","0.2","-0.7","-0.5","10.7","1.0","$5.1","7355"
"Pete Walker","1.5","0.2","0.3","0.5","10.1","1.0","$3.8","1325"
