"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Randy Johnson","51.1","-2.9","-0.1","-3.0","498.1","54.1","$113.7","60"
"Brandon Webb","32.2","2.6","0.0","2.6","284.6","29.6","$150.4","1692"
"Curt Schilling","24.8","-1.2","1.0","-0.2","227.9","24.9","$60.8","73"
"Patrick Corbin","13.3","-3.6","1.7","-1.9","139.3","15.1","$117.7","9323"
"Zack Greinke","17.2","2.7","0.8","3.5","131.6","13.7","$109.9","1943"
"Dan Haren","12.8","-0.2","-0.3","-0.5","124.1","13.3","$82.9","1757"
"Robbie Ray","12.2","-1.8","2.3","0.5","112.5","11.8","$94.1","11486"
"Miguel Batista","10.7","0.3","-0.8","-0.5","109.9","11.1","$42.9","46"
"Ian Kennedy","11.0","2.0","0.2","2.2","81.7","8.8","$61.5","6986"
"Omar Daal","8.7","1.9","-0.5","1.4","73.1","7.3","","646"
"Wade Miley","8.1","-1.7","2.8","1.1","64.1","7.0","$48.5","8779"
"Daniel Hudson","6.7","0.5","-0.3","0.2","58.5","6.5","$46.1","7146"
"Brian Anderson","9.5","3.0","0.2","3.2","65.9","6.3","$5.5","44"
"Zack Godley","3.7","-1.7","-0.5","-2.2","56.9","5.9","$47.4","14862"
"Doug Davis","7.5","-1.6","3.5","1.9","56.7","5.6","$33.6","1244"
"Andy Benes","5.8","1.3","-0.2","1.1","47.7","4.7","","1144"
"Josh Collmenter","4.7","2.2","-1.6","0.6","38.3","4.1","$31.1","7312"
"Max Scherzer","1.9","-1.0","-0.9","-1.8","35.9","3.7","$23.5","3137"
"Javier Vazquez","2.7","-0.5","-0.3","-0.8","34.1","3.5","$16.4","801"
"Trevor Cahill","2.4","-0.9","-0.1","-1.0","32.2","3.4","$23.2","6249"
"Micah Owings","2.3","1.3","-1.9","-0.6","29.4","2.9","$17.0","4253"
"Armando Reynoso","4.2","1.5","0.0","1.4","30.1","2.8","","72"
"Claudio Vargas","2.5","0.3","-0.5","-0.3","28.8","2.8","$13.3","1695"
"Taijuan Walker","3.1","0.2","0.3","0.5","26.1","2.6","$21.1","11836"
"Merrill Kelly","3.8","0.4","0.8","1.2","26.8","2.6","$20.9","11156"
"Brandon McCarthy","0.3","-2.3","0.1","-2.2","23.2","2.5","$18.9","4662"
"Chase Anderson","2.7","-0.5","0.8","0.3","22.5","2.4","$19.0","6895"
"Elmer Dessens","0.0","-2.2","-0.2","-2.4","23.7","2.3","$10.0","317"
"Luke Weaver","1.8","-0.6","0.1","-0.5","22.7","2.3","$18.5","16918"
"Zac Gallen","4.0","0.3","1.4","1.7","22.9","2.3","$18.3","19291"
"Joe Saunders","4.4","0.3","1.9","2.2","20.7","2.1","$14.0","4366"
"Todd Stottlemyre","2.7","-0.1","0.7","0.6","22.7","2.1","$0.0","75"
"Archie Bradley","0.5","-1.4","0.0","-1.5","19.5","2.0","$16.1","12918"
"Brad Halsey","0.6","-0.8","-0.6","-1.4","19.9","2.0","$9.5","4760"
"Clay Buchholz","3.7","0.8","1.2","2.0","16.1","1.7","$13.7","3543"
"Juan Cruz","1.3","-0.1","-0.2","-0.3","16.3","1.6","$7.8","273"
"Albie Lopez","1.8","0.2","0.1","0.2","15.4","1.6","","102"
"Rick Helling","1.9","0.7","-0.4","0.3","15.2","1.5","$5.9","58"
"Edwin Jackson","0.6","-0.7","-0.1","-0.7","12.9","1.3","$8.0","1841"
"Jon Garland","1.5","-0.1","0.4","0.3","12.8","1.3","$8.1","232"
"Enrique Gonzalez","0.1","0.1","-1.3","-1.2","12.9","1.2","$6.0","2568"
"Geraldo Guzman","0.7","-0.4","0.0","-0.5","12.6","1.2","","1005159"
"Livan Hernandez","3.8","0.1","2.6","2.6","11.9","1.2","$5.6","1116"
"Amaury Telemaco","0.9","0.1","-0.3","-0.2","10.9","1.1","","1802"
"Rubby de la Rosa","2.0","1.0","-0.1","0.9","10.4","1.1","$8.5","3862"
