"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Josh Johnson","23.6","-0.5","2.6","2.1","197.1","21.5","$132.5","4567"
"Ricky Nolasco","10.0","-4.0","-4.6","-8.6","177.1","18.7","$122.1","3830"
"Dontrelle Willis","17.0","-2.2","2.4","0.2","164.3","16.8","$77.4","1703"
"A.J. Burnett","13.7","3.5","-5.4","-1.9","150.6","15.5","$53.7","512"
"Jose Fernandez","13.6","0.3","-1.2","-0.8","125.2","14.5","$112.6","11530"
"Josh Beckett","10.5","0.0","-3.1","-3.1","130.4","13.6","$57.7","510"
"Anibal Sanchez","13.5","-0.5","0.7","0.2","124.1","13.3","$84.4","3284"
"Kevin Brown","17.2","1.8","2.2","4.0","122.5","13.2","","642"
"Brad Penny","10.5","-0.1","-2.5","-2.6","129.9","13.1","$30.3","535"
"Carl Pavano","8.5","0.4","-0.3","0.1","82.7","8.4","$35.4","790"
"Ryan Dempster","7.4","-1.8","2.1","0.3","74.6","7.1","$4.3","517"
"Alex Fernandez","8.6","1.6","0.1","1.7","70.1","7.0","","1003993"
"Pat Rapp","7.4","-1.4","3.3","1.9","56.2","5.6","","1010700"
"Nathan Eovaldi","2.7","-1.8","-0.9","-2.6","47.9","5.3","$39.5","9132"
"Chris Hammond","3.4","-1.3","-0.4","-1.7","49.7","5.1","","92"
"Henderson Alvarez","5.8","0.0","1.0","1.0","43.1","4.8","$36.2","5669"
"John Burkett","3.7","-0.7","-0.3","-1.0","46.6","4.7","","179"
"Chuck Smith","3.6","-0.8","0.0","-0.8","44.7","4.5","","1012114"
"Al Leiter","6.8","1.9","0.4","2.3","44.3","4.4","($0.9)","883"
"Scott Olsen","2.9","0.8","-2.1","-1.4","44.0","4.2","$22.5","4529"
"Mark Redman","3.6","0.9","-1.4","-0.5","40.1","4.2","$17.9","491"
"Livan Hernandez","4.2","-1.4","1.7","0.2","39.9","3.9","","1116"
"Chris Volstad","4.0","-0.1","0.4","0.3","36.0","3.7","$24.0","9901"
"Pablo Lopez","2.4","0.0","-1.2","-1.2","35.7","3.6","$28.8","17085"
"Tom Koehler","3.8","0.8","-0.5","0.3","32.3","3.6","$27.6","6570"
"Javier Vazquez","2.4","0.6","-1.6","-1.0","31.0","3.4","$25.9","801"
"Sandy Alcantara","4.6","1.6","-0.3","1.3","33.8","3.3","$26.6","18684"
"Jose Urena","4.8","2.6","-1.0","1.7","31.3","3.2","$25.2","11589"
"David Weathers","0.3","-2.6","0.2","-2.4","26.9","2.7","$0.3","902"
"Adam Conley","2.1","-0.3","-0.3","-0.7","25.7","2.7","$21.7","14457"
"Sergio Mitre","1.0","-1.3","-0.2","-1.6","25.4","2.5","$13.9","1773"
"Andrew Miller","-1.5","-2.2","-1.8","-4.0","24.1","2.5","$15.5","6785"
"Wei-Yin Chen","1.0","0.4","-1.8","-1.4","23.7","2.4","$19.2","13071"
"Trevor Richards","2.2","-0.4","0.3","-0.2","23.1","2.3","$18.5","19309"
"Jesus Sanchez","0.8","-0.9","-0.5","-1.3","22.0","2.2","","1476"
"Bobby Witt","1.8","-0.2","-0.1","-0.3","20.1","2.1","","1014170"
"Caleb Smith","2.6","1.7","-1.2","0.5","20.1","2.1","$16.4","14875"
"Dan Straily","3.1","1.5","-0.5","1.0","20.7","2.0","$16.4","9460"
"Charlie Hough","1.5","1.1","-1.6","-0.5","20.0","2.0","","1006050"
"Brian Meadows","0.2","-1.4","-0.4","-1.8","20.2","2.0","","998"
"Brian Moehler","-0.6","-3.3","0.8","-2.5","19.1","1.9","$9.1","480"
"Matt Clement","0.4","-0.6","-0.8","-1.5","19.0","1.8","","271"
"David Phelps","1.5","0.0","-0.3","-0.3","16.7","1.8","$14.3","6316"
"Mark Buehrle","3.3","1.3","0.4","1.6","15.9","1.6","$10.7","225"
"Dennis Springer","1.0","-0.7","0.1","-0.6","17.5","1.6","","672"
"Mat Latos","0.4","0.1","-1.2","-1.1","14.3","1.6","$12.5","3815"
"Luis Aquino","2.1","-0.1","0.8","0.7","13.1","1.4","","1000285"
"Mark Gardner","0.7","-0.6","0.1","-0.5","12.7","1.2","","1004529"
"Jason Vargas","0.7","0.1","-0.6","-0.5","10.7","1.2","$5.6","8044"
"Ryan Bowen","1.6","-0.3","0.8","0.5","11.5","1.2","","1001248"
"Kevin Olsen","0.4","-0.4","-0.3","-0.7","10.2","1.1","$2.1","533"
"Jarred Cosart","2.3","1.3","-0.1","1.3","8.7","1.0","$7.5","10304"
"Julian Tavarez","-0.5","-1.6","0.1","-1.5","10.1","1.0","$3.9","541"
"Tony Saunders","0.5","0.1","-0.5","-0.4","9.8","1.0","","1011463"
"Sixto Sanchez","1.1","-0.1","0.2","0.1","9.4","1.0","$7.7","19680"
"Sean West","0.0","-0.6","-0.4","-0.9","9.6","1.0","$6.1","4393"
"Jacob Turner","0.6","-0.1","-0.2","-0.3","8.5","0.9","$6.2","10185"
"Edinson Volquez","1.0","0.5","-0.4","0.1","9.1","0.9","$7.2","3990"
"Dan Haren","2.6","1.7","0.1","1.8","8.1","0.8","$6.8","1757"
"Zac Gallen","1.2","0.3","0.2","0.4","7.6","0.8","$6.1","19291"
"Reid Cornelius","1.6","1.0","-0.2","0.8","7.5","0.7","","1002634"
"Alex Sanabia","1.3","-0.4","1.0","0.6","6.3","0.7","$3.7","5350"
"Odrisamer Despaigne","0.0","0.3","-1.0","-0.7","6.7","0.7","$5.4","16017"
"Michael Tejera","-0.2","-1.2","0.4","-0.9","6.9","0.7","$2.7","542"
"Wade LeBlanc","-0.2","-0.8","0.0","-0.8","6.0","0.6","$4.2","5221"
"Jordan Yamamoto","0.4","0.8","-1.0","-0.2","6.1","0.6","$5.0","17585"
"Rick VandenHurk","-0.3","-0.9","0.0","-1.0","6.3","0.6","$3.7","5099"
"Kevin Slowey","0.5","-0.3","0.2","-0.1","5.2","0.6","$4.2","9918"
"Tommy Phelps","-0.3","-0.3","-0.5","-0.8","4.9","0.6","$2.4","1665"
"Vladimir Nunez","-1.3","0.0","-1.9","-1.8","5.9","0.6","","532"
"Elieser Hernandez","1.4","0.9","0.0","0.9","5.7","0.6","$4.4","16933"
"Justin Nicolino","0.4","-0.2","0.1","-0.1","5.2","0.5","$4.2","11754"
"Mark Hutton","0.9","0.5","-0.1","0.4","5.2","0.5","","1006245"
"Carlos Zambrano","0.4","0.7","-0.7","0.0","4.3","0.4","$2.9","305"
"Mark Hendrickson","-0.9","-0.3","-1.0","-1.3","4.2","0.4","$2.5","1574"
"Trevor Rogers","-0.1","-0.5","0.0","-0.5","4.1","0.4","$3.2","22286"
"Jack Armstrong","1.3","0.5","0.5","1.0","3.6","0.3","","1000313"
"Wes Obermueller","-0.2","-0.3","-0.2","-0.5","2.9","0.3","$1.5","1637"
"Andrew Cashner","-0.5","-0.6","-0.1","-0.7","2.6","0.3","$2.1","8782"
"Jeff Locke","-0.9","-0.5","-0.7","-1.2","2.4","0.2","$1.9","2929"
"Terry Mathews","0.2","-0.2","0.1","0.0","2.3","0.2","","1008241"
"Nate Robertson","-1.0","-0.1","-1.1","-1.2","1.4","0.2","$1.6","1620"
"Chris O'Grady","0.0","-0.1","-0.1","-0.1","1.4","0.1","$1.1","13818"
"Ismael Valdez","0.2","-0.3","0.3","0.1","1.2","0.1","$0.6","1283"
"Byung-Hyun Kim","-0.1","0.0","-0.1","-0.2","1.2","0.1","$0.6","61"
"Daniel Castano","0.3","0.0","0.2","0.2","1.2","0.1","$0.9","19805"
"Chris Seddon","-0.7","-0.4","-0.4","-0.8","1.1","0.1","$0.6","3833"
"Rick Helling","1.0","1.1","-0.2","0.9","0.0","0.1","","58"
"Dillon Peters","-0.1","-0.2","0.1","-0.1","0.5","0.1","$0.4","18790"
"Eric Ludwick","-0.3","-0.2","-0.1","-0.4","0.4","0.0","","1007816"
"Joe Fontenot","-0.7","-0.5","-0.2","-0.8","0.4","0.0","","1004206"
"Burke Badenhop","-0.7","-0.3","-0.4","-0.7","0.1","0.0","$0.0","9736"
"Anthony DeSclafani","-0.6","-0.2","-0.4","-0.6","-0.2","0.0","($0.2)","13050"
"Graham Taylor","-0.6","-0.2","-0.3","-0.5","-0.3","0.0","($0.2)","3719"
"Brad Hand","0.3","0.4","-0.1","0.4","-1.3","-0.1","($0.4)","9111"
"Marc Valdes","-0.6","-0.4","-0.1","-0.5","-1.1","-0.1","","1013313"
"Rich Scheid","0.2","0.3","0.0","0.3","-1.1","-0.1","","1011542"
"Willie Banks","0.5","0.7","-0.1","0.6","-1.1","-0.1","","1434"
"Vance Worley","-1.1","-0.7","-0.3","-1.0","-1.1","-0.1","($0.9)","6435"
"Randy Wolf","-0.5","-0.4","0.1","-0.3","-1.1","-0.1","($0.8)","976"
"Kurt Miller","-1.0","-0.4","-0.5","-0.9","-1.2","-0.1","","1008913"
"Jason Grilli","-0.1","-0.3","0.3","0.0","-1.4","-0.1","","521"
"Justin Wayne","-0.7","0.0","-0.6","-0.6","-1.3","-0.1","($0.5)","803"
"Humberto Mejia","-0.1","-0.1","0.2","0.0","-1.7","-0.2","($1.3)","20739"
"Robert Dugger","-0.6","0.2","-0.6","-0.4","-1.9","-0.2","($1.4)","19191"
"Clay Hensley","-0.6","0.4","-0.8","-0.4","-1.8","-0.2","($1.4)","4593"
"Rafael Medina","-0.8","-0.3","-0.3","-0.6","-2.1","-0.2","","1008716"
"Kirt Ojala","0.0","0.3","-0.1","0.2","-2.3","-0.2","","1009755"
"Jeff Brigham","-0.2","0.0","0.1","0.1","-2.3","-0.2","($1.7)","16631"
"Brian Flynn","-0.9","-0.7","0.1","-0.6","-2.3","-0.2","($1.6)","12027"
"Ryan Tucker","-0.7","-0.3","-0.1","-0.4","-2.8","-0.3","($1.6)","1062"
"Jarlin Garcia","0.6","0.9","-0.1","0.9","-2.7","-0.3","($2.1)","18282"
"Jake Esch","0.0","-0.1","0.4","0.3","-3.1","-0.3","($2.2)","12756"
"Andy Larkin","-2.2","-0.7","-1.1","-1.8","-3.8","-0.3","","1007345"
"Hector Noesi","-0.9","0.1","-0.6","-0.5","-4.5","-0.4","($3.1)","3292"
"Andrew Heaney","-0.5","-0.1","0.0","-0.1","-4.3","-0.4","($3.2)","15423"
"Darren Oliver","-1.1","-0.4","-0.3","-0.6","-5.0","-0.4","($1.9)","206"
"Paul Clemens","-0.1","0.1","0.3","0.4","-6.4","-0.5","($4.0)","8037"
"Adalberto Mendez","0.1","0.1","0.6","0.7","-6.0","-0.5","($3.3)","3752"
"Logan Kensing","-0.7","0.0","-0.1","-0.1","-6.9","-0.6","($2.3)","6166"
"Daniel Barone","-0.8","-0.2","0.2","0.0","-9.4","-0.8","($4.4)","7652"
