"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Tom Seaver","83.7","13.1","2.6","15.7","569.5","68.0","","1011708"
"Dwight Gooden","43.6","-3.6","-4.9","-8.5","447.9","52.1","","1004852"
"Jerry Koosman","44.6","2.7","0.6","3.3","361.1","41.3","","1007103"
"Jacob deGrom","35.1","1.6","-0.6","1.0","305.5","34.1","$271.6","10954"
"Jon Matlack","26.9","0.0","-2.6","-2.7","256.0","29.5","","1008246"
"Sid Fernandez","29.9","13.2","-9.3","3.9","232.8","26.0","","1004001"
"David Cone","20.3","-1.2","-3.1","-4.3","211.0","24.6","($0.5)","1680"
"Al Leiter","29.2","4.6","0.9","5.5","236.6","23.8","$29.2","883"
"Noah Syndergaard","13.5","-3.3","-1.9","-5.2","171.9","18.7","$149.9","11762"
"Ron Darling","19.0","2.5","0.7","3.2","146.9","15.8","","1002989"
"Johan Santana","16.9","3.1","-0.1","3.0","131.2","13.9","$86.6","755"
"Matt Harvey","10.8","0.5","-3.1","-2.6","113.7","13.4","$101.2","11713"
"Bobby Jones","12.9","2.8","-3.1","-0.3","134.4","13.2","","1039"
"Rick Reed","18.3","4.3","0.8","5.1","133.2","13.2","","750"
"Craig Swan","11.2","1.5","-3.5","-2.0","118.1","13.1","","1012754"
"Jon Niese","7.1","-3.9","-2.0","-5.9","120.2","13.0","$92.0","4424"
"Zack Wheeler","9.6","-1.1","-1.8","-2.9","117.9","12.6","$99.1","10310"
"Bret Saberhagen","12.8","1.0","-0.6","0.3","114.0","12.5","","1011355"
"Tom Glavine","15.9","1.9","1.9","3.8","121.9","12.0","$56.4","90"
"Al Jackson","2.0","-3.8","-5.3","-9.0","98.4","11.0","","1006288"
"Bob Ojeda","10.1","1.7","-2.4","-0.7","94.5","10.8","","1009756"
"R.A. Dickey","13.9","2.7","0.9","3.7","94.3","10.3","$68.2","1245"
"Mike Pelfrey","7.8","-2.9","0.5","-2.4","99.4","10.2","$64.5","5203"
"Frank Viola","9.5","-2.1","1.5","-0.7","90.5","10.2","","1013435"
"Pedro Martinez","8.5","2.0","-3.4","-1.3","93.2","9.9","$48.2","200"
"Steve Trachsel","11.7","3.4","0.4","3.8","81.6","8.0","$24.9","898"
"Jim McAndrew","9.4","3.7","-2.2","1.4","70.2","7.9","","1008328"
"Glendon Rusch","4.6","-3.2","0.0","-3.2","78.5","7.8","","707"
"Bartolo Colon","5.0","-0.7","-1.9","-2.6","70.6","7.6","$59.3","375"
"Jack Fisher","4.0","-2.4","-0.9","-3.4","66.3","7.4","","1004090"
"Gary Gentry","10.0","4.7","-1.6","3.1","62.3","6.9","","1004614"
"Ray Sadecki","7.2","0.8","0.1","0.9","56.4","6.4","","1011360"
"John Maine","6.6","4.4","-4.0","0.4","62.8","6.2","$35.6","4773"
"Steven Matz","5.1","-0.7","0.5","-0.2","51.1","5.3","$42.5","13361"
"Rick Aguilera","3.3","-2.5","0.5","-2.0","48.9","5.3","","1000086"
"Jae Seo","6.0","1.1","-0.3","0.8","51.2","5.2","$23.2","895"
