"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Steve Rogers","54.1","4.7","-0.6","4.1","442.5","50.0","","1011138"
"Stephen Strasburg","33.0","0.6","-4.3","-3.7","331.9","36.7","$278.9","10131"
"Max Scherzer","36.3","4.9","-3.1","1.8","309.4","34.5","$275.6","3137"
"Javier Vazquez","19.3","-2.3","-2.9","-5.3","239.4","24.6","$43.6","801"
"Dennis Martinez","31.7","7.7","0.2","7.9","215.5","23.8","","1008161"
"Gio Gonzalez","22.6","0.1","-1.0","-0.9","215.8","23.5","$177.4","7448"
"Bryn Smith","18.9","3.6","-5.3","-1.6","183.8","20.5","","1012104"
"Jordan Zimmermann","20.8","0.5","-0.2","0.3","183.2","20.5","$150.5","4505"
"Pedro Martinez","21.8","3.6","-1.8","1.8","186.0","20.0","","200"
"Bill Gullickson","17.5","1.7","-3.0","-1.3","164.7","18.8","","1005136"
"Livan Hernandez","18.9","-1.1","3.0","1.8","167.9","17.0","$85.5","1116"
"Jeff Fassero","14.1","-1.0","-0.1","-1.1","144.2","15.2","","279"
"Tanner Roark","16.8","2.8","1.7","4.5","115.0","12.2","$96.1","8753"
"Scott Sanderson","12.9","0.4","0.9","1.3","103.2","11.5","","1011422"
"Dustin Hermanson","11.5","2.0","-1.6","0.4","113.5","11.1","","195"
"Bill Stoneman","10.1","-2.1","1.2","-0.9","96.0","11.1","","1012560"
"Charlie Lea","12.1","4.4","-1.2","3.2","80.5","8.9","","1007423"
"Steve Renko","13.0","4.6","-0.4","4.1","81.9","8.8","","1010835"
"Pascual Perez","9.9","3.3","-2.0","1.2","76.2","8.6","","1010185"
"Ken Hill","11.4","3.7","-0.4","3.3","76.4","8.1","","1005827"
"Carlos Perez","7.4","1.4","-1.9","-0.5","77.3","7.9","","1010179"
"Tomo Ohka","9.1","-0.2","1.4","1.3","77.6","7.9","$29.1","788"
"David Palmer","8.0","-0.2","0.7","0.5","67.6","7.5","","1009970"
"Tony Armas Jr.","8.6","3.7","-2.0","1.7","69.8","6.9","$9.2","761"
"Chris Nabholz","8.2","2.2","-0.9","1.3","61.8","6.8","","1009431"
"Ernie McAnally","3.6","-0.1","-2.9","-3.0","59.2","6.6","","1008325"
"Woodie Fryman","6.5","-1.7","2.1","0.4","54.8","6.1","","1004381"
