"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Jim Palmer","93.5","28.1","8.4","36.5","521.6","57.0","","1009973"
"Mike Mussina","52.3","6.9","-1.3","5.7","463.6","46.7","","837"
"Dave McNally","46.0","4.5","7.8","12.3","303.8","33.7","","1008655"
"Mike Flanagan","28.2","-1.0","-2.2","-3.2","301.0","31.5","","1004133"
"Urban Shocker","40.3","6.3","3.6","9.9","295.5","30.3","","1011918"
"Mike Cuellar","33.2","10.5","-2.7","7.8","233.1","25.5","","1002853"
"Jack Powell","31.0","4.5","3.1","7.6","207.5","23.5","","1010487"
"Scott McGregor","24.6","3.2","-1.5","1.7","219.7","23.0","","1008546"
"Milt Pappas","28.7","5.4","1.4","6.9","204.6","21.9","","1009989"
"George Blaeholder","19.3","-0.6","-0.7","-1.3","214.9","20.6","","1001025"
"Mike Boddicker","19.3","2.7","-2.6","0.1","185.7","19.2","","1001111"
"Steve Barber","23.5","1.8","2.6","4.4","176.9","19.1","","1000530"
"Scott Erickson","14.9","-2.4","-1.5","-3.9","194.2","18.8","$2.4","137"
"Dolly Gray","13.1","-2.2","-2.8","-5.0","186.7","18.1","","1004969"
"Carl Weilman","22.7","3.8","1.1","4.9","158.4","17.8","","1013737"
"Bob Muncrief","15.9","-3.7","2.4","-1.3","156.4","17.2","","1009317"
"Denny Galehouse","14.9","-3.3","1.5","-1.8","148.7","16.7","","1004443"
"Sidney Ponson","12.8","-2.5","-1.1","-3.6","170.3","16.5","$38.6","161"
"Harry Howell","24.0","5.3","2.5","7.8","135.1","16.2","","1006097"
"Ned Garver","19.4","1.7","1.9","3.6","156.3","15.8","","1004556"
"Lefty Stewart","21.5","3.5","2.3","5.7","166.2","15.8","","1012524"
"Dennis Martinez","13.4","0.7","-3.0","-2.3","149.3","15.7","","1008161"
"Erik Bedard","13.4","-1.3","-0.7","-1.9","149.4","15.4","$76.0","126"
"Jack Kramer","10.8","-2.8","-1.5","-4.4","137.2","15.2","","1007137"
"Storm Davis","12.6","0.6","-2.6","-2.0","138.2","14.6","","1003080"
"Nels Potter","19.1","2.1","2.7","4.8","125.9","14.3","","1010471"
"Ben McDonald","16.1","6.0","-3.2","2.8","132.0","13.3","","1008454"
"Elam Vangilder","12.4","3.8","-4.4","-0.7","135.4","13.1","","1013355"
"Hal Brown","15.4","4.9","-1.4","3.6","114.1","11.9","","1001520"
"Allen Sothoron","8.0","2.0","-5.0","-3.1","99.9","11.1","","1012288"
"Connie Johnson","8.3","-0.2","-2.6","-2.8","101.2","11.1","","1006438"
"Fred Glade","12.9","1.8","0.4","2.3","89.8","10.6","","1004753"
"Barney Pelty","20.9","8.8","1.5","10.3","91.6","10.6","","1010136"
"Pat Dobson","10.0","1.2","-1.7","-0.5","88.7","10.6","","1003345"
"Kevin Gausman","10.8","-3.2","3.6","0.4","99.9","10.4","$82.5","14107"
"Jeremy Guthrie","15.5","6.8","-1.4","5.4","100.8","10.1","$63.2","2072"
"Rodrigo Lopez","7.6","-1.1","-1.2","-2.3","101.0","9.9","$42.9","150"
"Tom Phoebus","12.2","1.4","1.2","2.6","83.5","9.6","","1010301"
"Bobo Newsom","8.2","-1.6","0.4","-1.3","101.0","9.5","","1009546"
"Wei-Yin Chen","12.1","1.0","1.8","2.8","88.0","9.4","$69.3","13071"
"Rube Waddell","7.2","-2.7","0.5","-2.2","71.8","9.3","","1013467"
"Billy O'Dell","11.5","4.0","-1.8","2.2","85.7","9.3","","1009724"
"Duane Pillette","6.3","-2.1","-0.8","-3.0","88.3","9.3","","1010350"
"Chris Tillman","11.4","3.2","-1.1","2.2","85.6","9.2","$70.3","5279"
"Dixie Davis","16.1","6.9","0.1","7.0","96.0","9.1","","1003045"
"Robin Roberts","15.6","2.2","4.3","6.5","85.9","9.1","","1011046"
"Johnny Niggeling","11.6","3.6","-0.8","2.8","83.7","8.8","","1009596"
"Earl Hamilton","8.5","0.4","-0.3","0.0","78.5","8.5","","1005273"
"Dick Coffman","6.7","-2.1","0.3","-1.7","89.8","8.4","","1002391"
"Dave Danforth","9.1","0.3","0.5","0.8","84.9","8.3","","1002966"
"Al Hollingsworth","6.4","-2.7","1.0","-1.7","72.1","8.1","","1005955"
"Daniel Cabrera","6.4","1.3","-3.0","-1.7","82.0","8.0","$39.2","1931"
"Jim Hardin","11.3","2.0","1.4","3.4","70.2","8.0","","1005344"
"Hoyt Wilhelm","10.2","2.1","0.3","2.4","73.3","7.9","","1013945"
"Bump Hadley","10.7","1.3","1.7","3.0","79.2","7.7","","1005186"
"Elden Auker","6.4","-2.3","1.1","-1.3","76.5","7.7","","1000366"
"Dave Davenport","2.4","-3.5","-1.5","-5.0","63.8","7.4","","1003016"
"Ivy Andrews","9.8","1.3","1.1","2.5","78.3","7.3","","1000253"
"Wally Bunker","8.1","2.3","-1.5","0.8","65.2","7.2","","1001652"
"Milt Gaston","5.3","0.1","-2.0","-1.9","75.6","7.2","","1004567"
"Alvin Crowder","11.5","3.5","0.9","4.4","73.9","7.1","","1002820"
"Cliff Fannin","5.0","-0.1","-1.9","-2.0","68.6","7.1","","1003921"
"Joe Lake","1.7","-2.8","-2.6","-5.4","62.8","7.1","","1007262"
"Ray Kolp","4.6","-1.3","-0.9","-2.3","71.0","6.9","","1007088"
"Ross Grimsley","10.2","3.1","0.3","3.4","63.4","6.8","","1005071"
"Dylan Bundy","5.2","0.8","-2.2","-1.4","67.5","6.7","$53.5","12917"
"Bill Wight","5.2","-2.6","1.3","-1.3","61.7","6.5","","1013933"
"Jamie Moyer","6.9","1.0","-0.5","0.5","65.2","6.4","","1091"
"Jack Fisher","3.8","-1.0","-1.4","-2.4","61.3","6.2","","1004090"
"Jason Johnson","5.3","1.1","-1.6","-0.5","61.2","5.9","$15.3","147"
"Bob Milacki","7.4","2.6","-0.9","1.7","53.8","5.7","","1008855"
"Chuck Estrada","8.6","3.5","-0.2","3.3","52.4","5.2","","1003841"
"Red Donahue","7.6","0.5","2.3","2.8","48.1","4.9","","1003373"
"Jack Knott","2.3","-1.3","-1.3","-2.6","53.1","4.9","","1007053"
"Don Larsen","2.6","-1.3","-0.9","-2.2","45.4","4.8","","1007359"
"Ubaldo Jimenez","1.7","-2.1","-0.8","-2.9","43.0","4.5","$36.1","3374"
"Fred Sanford","4.5","-0.2","0.2","0.1","42.4","4.4","","1011430"
"Ray Moore","5.7","3.1","-1.8","1.3","42.4","4.3","","1009125"
"Ernie Wingard","4.4","0.4","-0.4","0.1","45.4","4.3","","1014129"
"Steve Sundra","4.3","-0.1","0.1","0.0","38.6","4.3","","1012726"
"Sam Zoldak","5.9","1.0","0.6","1.6","40.5","4.3","","1014458"
"Jose Mercedes","2.2","-0.5","-1.5","-2.0","43.8","4.2","","396"
"Rip Collins","8.0","1.3","2.6","3.9","44.5","4.1","","1002463"
"Russ Van Atta","0.3","-2.1","-1.7","-3.8","43.4","4.1","","1013337"
"George Baumgardner","5.4","-1.0","2.4","1.3","38.2","4.0","","1000686"
"Bob Turley","4.5","2.0","-1.5","0.5","37.9","4.0","","1013225"
"Rudy May","3.8","1.4","-1.6","-0.2","37.9","4.0","","1008310"
"Oral Hildebrand","3.8","-0.5","0.4","-0.1","42.4","3.9","","1005804"
"Chief Hogsett","0.5","-3.1","-0.3","-3.4","43.1","3.9","","1005930"
"Billy Loes","3.6","0.0","-0.2","-0.2","35.0","3.8","","1007699"
"Steve Stone","6.9","2.7","0.3","3.1","36.8","3.8","","1012573"
"Rasty Wright","4.4","0.9","-0.3","0.7","35.8","3.8","","1014291"
"Roy Mitchell","-1.3","-3.0","-2.0","-5.0","33.6","3.7","","1009010"
"Miguel Gonzalez","9.2","3.3","2.3","5.6","34.3","3.5","$25.9","7024"
"Eddie Plank","7.0","3.0","0.5","3.5","30.0","3.5","","1010385"
"Lefty Mills","0.7","-0.1","-2.7","-2.8","37.9","3.5","","1008959"
"Sig Jakucki","4.1","0.3","0.4","0.6","32.4","3.5","","1006338"
"Rick Sutcliffe","1.9","-1.6","0.0","-1.6","33.4","3.5","","1012734"
