"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Jake Peavy","29.5","3.0","-2.3","0.7","276.5","28.8","$147.0","1051"
"Randy Jones","21.8","7.5","-8.9","-1.4","210.3","23.2","","1006582"
"Andy Benes","20.1","0.2","-2.7","-2.5","207.7","22.6","","1144"
"Andy Ashby","19.7","3.5","-1.8","1.8","178.1","17.9","","637"
"Bruce Hurst","16.6","1.2","-0.5","0.7","141.0","15.9","","1006222"
"Ed Whitson","18.1","3.7","-0.5","3.3","134.1","14.9","","1013911"
"Joey Hamilton","12.5","1.1","-0.7","0.4","121.3","12.2","","328"
"Brian Lawrence","8.7","-0.9","-2.0","-2.9","115.7","11.6","$40.6","1045"
"Eric Show","19.2","7.4","0.8","8.2","102.8","11.1","","1011937"
"Gaylord Perry","8.6","-1.2","-0.4","-1.6","89.0","10.2","","1010210"
"Tyson Ross","7.7","-0.2","-1.5","-1.8","85.6","9.5","$73.4","7872"
"Adam Eaton","6.3","1.1","-4.2","-3.1","96.0","9.4","$29.6","1029"
"Mat Latos","7.0","2.0","-3.6","-1.6","78.1","8.6","$58.4","3815"
"Dave Dravecky","13.2","4.6","0.3","4.9","77.7","8.4","","1003486"
"Chris Young","10.1","8.0","-6.2","1.9","82.3","8.3","$45.6","3196"
"Dave Roberts","10.1","1.2","1.0","2.1","69.1","8.0","","1011031"
"Andrew Cashner","3.6","0.3","-3.7","-3.4","63.8","7.0","$52.8","8782"
"Scott Sanders","3.6","0.5","-3.9","-3.4","66.9","7.0","","1011423"
"Clay Kirby","9.2","2.4","-0.2","2.2","60.6","6.9","","1006960"
"Andy Hawkins","7.7","2.4","-0.9","1.5","58.3","6.2","","1005514"
"Woody Williams","8.1","3.1","-1.1","2.0","65.7","6.2","$10.7","1190"
"Sterling Hitchcock","5.2","0.7","-1.4","-0.7","60.8","5.9","($0.5)","824"
"Greg Harris","8.3","2.1","0.4","2.6","53.0","5.8","","1005416"
"Greg Maddux","3.5","0.3","-2.5","-2.2","57.9","5.8","$33.5","104"
"Clayton Richard","3.8","-2.1","0.2","-1.8","54.8","5.6","$39.8","3551"
"Dennis Rasmussen","4.8","-0.8","0.2","-0.6","49.5","5.5","","1010703"
"David Wells","3.6","-0.4","-0.6","-1.1","46.5","4.6","$20.8","855"
"Mark Thurmond","4.7","0.0","0.1","0.0","42.7","4.6","","1013052"
"Bob Shirley","2.5","-1.7","-0.2","-1.9","41.1","4.3","","1011911"
"Steve Arlin","0.3","-0.8","-3.1","-3.9","36.4","4.3","","1000303"
"Matt Clement","1.2","-0.2","-2.6","-2.8","42.8","4.0","","271"
"Tim Lollar","6.0","2.6","-0.5","2.1","36.5","3.9","","1007715"
"Fred Norman","4.8","-0.3","1.2","0.9","34.4","3.9","","1009632"
"Eric Stults","2.2","0.2","-1.9","-1.7","34.9","3.9","$27.5","8011"
"Bill Greif","-1.2","-2.4","-2.5","-4.9","34.4","3.7","","1005027"
"Jimmy Jones","0.7","-0.2","-2.7","-2.8","32.6","3.5","","1006569"
"Dave Freisleben","1.3","-0.4","-1.7","-2.2","31.6","3.4","","1004333"
"Ian Kennedy","1.2","-0.9","-1.3","-2.1","30.2","3.3","$25.3","6986"
"Brent Strom","2.4","1.9","-2.7","-0.9","28.0","3.2","","1012627"
"Kevin Correia","1.0","-0.3","-1.9","-2.2","30.6","3.1","$20.0","1767"
"Tim Stauffer","3.1","0.5","-0.4","0.1","27.9","3.1","$20.4","6432"
"Steve Mura","1.1","-1.6","-0.3","-1.9","27.4","3.0","","1009337"
"Brian Tollberg","1.3","-1.2","-0.5","-1.7","30.8","3.0","($1.1)","1055"
"La Marr Hoyt","2.4","0.3","-0.7","-0.4","25.3","2.8","","1006114"
"Luis Perdomo","-0.3","-2.7","-0.3","-3.0","26.9","2.7","$21.4","14682"
"Bob Owchinko","2.1","-0.7","0.2","-0.5","24.7","2.6","","1009914"
"Eric Rasmussen","0.7","-0.8","-0.8","-1.6","22.2","2.4","","1010704"
"Edinson Volquez","-1.3","-1.6","-1.8","-3.4","20.6","2.2","$14.6","3990"
"Dan Spillner","-1.5","-2.6","-0.8","-3.4","17.9","1.9","","1012342"
"Fernando Valenzuela","2.7","-0.7","1.5","0.8","19.4","1.9","","1013327"
"Kevin Jarvis","0.3","1.1","-2.0","-0.9","12.7","1.2","$1.7","1037"
"Bobby Jones","-2.1","-1.4","-1.9","-3.3","12.2","1.2","$1.5","1039"
"Juan Eichelberger","1.5","2.5","-1.6","0.9","4.7","0.6","","1003711"
"John Curtis","0.6","0.6","-0.6","0.0","5.2","0.6","","1002905"
