"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Steve Carlton","74.8","2.2","-2.9","-0.7","642.6","75.4","","1001964"
"Robin Roberts","70.6","6.6","1.3","7.9","591.2","62.7","","1011046"
"Pete Alexander","64.7","5.6","8.2","13.9","428.4","50.8","","1000128"
"Cole Hamels","44.4","4.5","-0.7","3.8","373.4","40.6","$271.8","4972"
"Curt Schilling","39.5","4.3","-3.2","1.0","358.1","38.5","","73"
"Curt Simmons","26.1","-1.0","-6.5","-7.5","316.3","33.6","","1011980"
"Jim Bunning","33.6","1.3","1.0","2.4","264.1","31.2","","1001653"
"Chris Short","32.5","-3.7","5.9","2.2","261.1","30.3","","1011931"
"Eppa Rixey","19.5","-1.5","-3.2","-4.7","207.1","24.2","","1011008"
"Larry Christenson","15.1","-2.3","-4.6","-6.9","195.9","22.0","","1002215"
"Cliff Lee","20.2","-2.1","0.4","-1.7","190.0","21.9","$157.1","1636"
"Tully Sparks","24.9","2.9","1.4","4.3","179.9","20.6","","1012306"
"Jimmy Ring","13.7","-3.4","-3.3","-6.7","205.7","20.4","","1010972"
"Rick Wise","10.8","-6.0","-2.6","-8.6","167.4","19.4","","1014155"
"Aaron Nola","19.7","0.8","-0.3","0.5","180.6","19.2","$153.5","16149"
"Al Orth","23.8","1.5","3.4","4.9","209.6","18.9","","1009857"
"Charlie Ferguson","26.2","5.7","2.1","7.8","212.5","18.4","","1003987"
"Charlie Buffinton","23.9","1.5","4.7","6.2","201.5","17.7","","1001634"
"Jack Taylor","17.6","0.0","0.7","0.7","219.7","16.9","","1012878"
"Roy Halladay","17.3","0.3","0.2","0.5","143.6","16.8","$115.0","1303"
"Dick Ruthven","11.1","-1.3","-4.0","-5.3","147.8","16.3","","1011330"
"Ray Benge","11.7","-2.9","-1.4","-4.4","165.9","16.1","","1000831"
"Terry Mulholland","13.8","0.3","-2.5","-2.2","146.3","16.0","","665"
"Randy Wolf","17.5","2.4","-0.5","1.9","157.3","15.6","$35.8","976"
"Claude Passeau","6.9","-5.3","-2.0","-7.3","140.1","14.2","","1010046"
"Kid Gleason","17.4","-0.1","3.3","3.1","166.7","14.2","","1004770"
"Dan Casey","22.6","2.2","6.7","9.0","159.1","13.6","","1002036"
"Lee Meadows","11.8","-0.7","-0.8","-1.5","124.8","13.3","","1008705"
"Hal Carlson","11.7","-3.3","2.0","-1.3","128.7","13.1","","1001961"
"Schoolboy Rowe","10.1","-0.5","-2.4","-2.9","117.5","13.0","","1011259"
"Gus Weyhing","17.3","-0.9","5.5","4.6","155.5","12.7","","1013820"
"Kid Carsey","11.9","-2.4","1.7","-0.7","161.8","12.7","","1002008"
"Earl Moore","21.0","2.1","6.3","8.4","115.1","12.6","","1009103"
"Woodie Fryman","7.5","-3.3","-1.2","-4.5","103.3","12.0","","1004381"
"John Denny","12.9","0.1","0.9","1.0","105.7","11.9","","1003210"
"Jim Lonborg","11.7","0.2","-0.4","-0.1","107.7","11.8","","1007724"
"Erskine Mayer","14.4","-1.8","4.5","2.7","101.5","11.8","","1008297"
"George McQuillan","20.7","6.9","2.1","9.0","98.1","11.7","","1008682"
"Brett Myers","12.8","0.2","1.1","1.3","114.5","11.4","$54.5","962"
"Red Donahue","15.5","0.5","3.9","4.4","120.3","11.1","","1003373"
"Frank Corridon","10.3","0.5","-0.9","-0.3","90.6","10.6","","1002640"
"Russ Meyer","10.2","-2.0","1.7","-0.3","99.2","10.4","","1008833"
"Bill Duggleby","12.2","-1.9","3.7","1.9","99.9","10.4","","1003542"
"Ben Sanders","11.9","-1.2","2.7","1.5","114.5","10.3","","1011413"
"Ken Raffensberger","5.8","-1.3","-3.1","-4.4","90.0","10.2","","1010646"
"Curt Davis","13.3","0.2","2.9","3.2","100.1","10.1","","1003043"
"Larry Jackson","11.8","1.6","0.1","1.7","84.4","10.1","","1006304"
"George Smith","3.4","-3.4","-3.1","-6.5","95.2","9.9","","1012144"
"Phil Collins","12.6","0.1","2.6","2.7","103.3","9.8","","1002461"
"Dutch Leonard","11.7","-0.5","2.4","1.9","91.3","9.8","","1007533"
"Bruce Ruffin","5.7","-6.0","2.1","-3.9","88.7","9.6","","1011294"
"Bill Hubbell","3.6","-3.1","-2.7","-5.8","93.1","9.4","","1006122"
"Chick Fraser","7.1","-0.6","-1.7","-2.3","95.8","9.3","","1004305"
