"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Kenny Rogers","26.1","-0.5","3.6","3.1","235.4","23.0","$38.5","1277"
"Charlie Hough","34.5","17.5","-4.9","12.6","214.7","22.0","","1006050"
"Kevin Brown","17.3","-2.6","-1.8","-4.3","205.6","21.6","","642"
"Nolan Ryan","15.3","5.0","-11.0","-6.0","189.4","21.3","","1011348"
"Fergie Jenkins","23.4","3.6","-1.1","2.5","191.1","20.9","","1006388"
"Bobby Witt","10.2","-4.1","-5.1","-9.2","190.2","19.4","","1014170"
"Gaylord Perry","14.8","-1.2","-2.4","-3.6","164.6","18.4","","1010210"
"Yu Darvish","19.5","0.9","0.3","1.2","166.9","18.3","$135.4","13074"
"Jon Matlack","12.4","-2.4","-0.8","-3.2","142.8","15.6","","1008246"
"Colby Lewis","12.5","0.8","-2.6","-1.8","135.1","14.3","$98.7","1259"
"Jose Guzman","13.0","-0.6","-0.2","-0.9","132.2","13.9","","1005160"
"Dick Bosman","12.2","-1.5","0.7","-0.8","116.5","13.0","","1001215"
"John Burkett","5.6","-5.1","-2.2","-7.3","130.4","12.9","","179"
"Derek Holland","13.0","0.0","0.5","0.5","116.7","12.5","$91.5","4141"
"Kevin Millwood","10.6","-2.9","1.9","-1.0","115.6","11.5","$64.7","106"
"Doc Medich","8.6","-1.7","-0.3","-2.0","100.0","10.6","","1008714"
"Rick Helling","13.5","3.3","0.2","3.5","105.5","10.0","","58"
"Joe Coleman","7.2","-1.9","-0.5","-2.5","86.8","9.6","","1002428"
"Aaron Sele","6.5","-4.2","1.1","-3.1","97.1","9.6","","34"
"Bert Blyleven","11.9","2.0","0.5","2.5","83.4","9.3","","1001098"
"C.J. Wilson","9.8","0.4","0.1","0.5","85.7","9.3","$63.8","3580"
"Danny Darwin","6.1","0.1","-3.2","-3.1","85.1","9.1","","1002996"
"Claude Osteen","9.1","-0.5","0.7","0.2","82.9","8.9","","1009878"
"Roger Pavlik","11.5","0.8","1.9","2.7","91.9","8.8","","1010087"
"Martin Perez","7.3","-3.0","1.6","-1.4","83.6","8.7","$67.4","6902"
"Matt Harrison","10.4","-0.2","2.2","2.0","78.7","8.3","$58.1","5551"
"Darren Oliver","5.3","-2.8","1.0","-1.8","76.2","7.1","","206"
"Frank Tanana","6.4","2.1","-2.8","-0.7","69.1","7.1","","1012818"
"Mike Minor","9.9","1.8","1.1","2.8","70.1","7.1","$56.4","10021"
"Cole Hamels","11.0","1.4","2.6","3.9","68.6","7.0","$56.2","4972"
"Scott Feldman","5.0","0.0","-1.9","-1.9","68.3","6.9","$44.3","6283"
"Ken Hill","8.1","-0.5","1.8","1.3","71.5","6.8","","1005827"
"Bennie Daniels","4.8","1.0","-3.0","-2.0","65.5","6.8","","1002968"
"Vicente Padilla","6.0","-0.8","0.7","-0.1","62.4","6.1","$33.0","964"
"Pete Richert","7.5","2.8","-1.2","1.5","53.9","6.0","","1010922"
"Steve Hargan","1.9","-1.7","-2.4","-4.0","53.4","5.9","","1005356"
"Jim Bibby","4.1","1.9","-3.1","-1.2","49.8","5.3","","1000945"
"Mike Mason","2.8","-1.1","-1.3","-2.4","50.8","5.2","","1008221"
"Rick Honeycutt","6.8","0.1","1.6","1.7","49.0","5.2","","1005992"
"Doug Davis","3.7","-2.0","1.3","-0.7","44.5","4.5","$1.2","1244"
"Ryan Drese","3.3","-1.9","1.0","-0.9","42.6","4.2","$17.9","379"
"Doyle Alexander","7.6","2.0","1.4","3.5","41.2","4.1","","1000122"
"Tom Cheney","5.5","2.7","-1.4","1.3","37.9","4.1","","1002177"
"Bill Gogolewski","2.6","-0.4","-0.9","-1.3","34.2","4.0","","1004802"
"Dock Ellis","4.5","1.6","-0.9","0.7","37.2","3.9","","1003747"
"Mike McCormick","4.1","0.9","-0.6","0.3","35.1","3.9","","1008420"
"Jim Umbarger","3.5","-1.4","1.1","-0.3","34.6","3.8","","1013276"
"Don Rudolph","2.4","-1.0","-0.3","-1.3","36.1","3.7","","1011285"
"Camilo Pascual","2.7","0.0","-1.0","-1.0","29.4","3.7","","1010039"
"Pete Broberg","-1.3","-0.8","-3.4","-4.2","25.7","2.8","","1001454"
"Steve Comer","3.9","0.9","0.4","1.3","24.8","2.6","","1002482"
"Jim Hannan","3.6","-1.8","3.0","1.2","19.6","2.4","","1005316"
"Chan Ho Park","1.5","-1.8","1.4","-0.4","18.5","1.9","$8.4","1267"
"Jim Shellenback","1.5","-0.1","-0.3","-0.4","17.4","1.8","","1011859"
"Dave Stenhouse","3.5","1.9","0.0","1.8","16.8","1.7","","1012482"
"Phil Ortega","2.9","2.7","-0.8","1.9","6.5","1.0","","1009855"
"Barry Moore","1.6","0.7","0.0","0.7","8.1","0.9","","1009089"
"Buster Narum","0.6","-0.2","-0.1","-0.3","8.2","0.9","","1009455"
"Nick Martinez","1.6","1.2","0.2","1.4","2.1","0.3","$2.2","12730"
