"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"James Shields","23.0","0.2","-1.2","-0.9","232.4","24.0","$151.9","7059"
"David Price","22.9","3.2","-2.2","1.0","201.5","21.9","$152.2","3184"
"Chris Archer","15.0","-0.9","-3.0","-3.8","177.3","18.9","$148.4","6345"
"Scott Kazmir","15.0","-1.5","0.7","-0.8","156.0","15.9","$84.2","4897"
"Blake Snell","13.7","0.4","1.7","2.1","112.1","11.6","$92.9","13543"
"Alex Cobb","12.9","1.7","1.5","3.2","91.7","9.7","$72.0","6562"
"Matt Garza","10.3","3.7","-1.7","2.0","81.5","8.2","$51.2","3340"
"Charlie Morton","6.1","-0.6","-0.3","-0.9","67.2","7.0","$55.7","4676"
"Jake Odorizzi","9.7","4.3","-1.3","3.0","63.7","6.7","$52.9","6397"
"Jeff Niemann","6.8","2.3","-1.7","0.5","61.6","6.3","$42.1","8591"
"Matt Moore","6.8","1.3","-0.3","1.0","55.3","5.8","$41.7","1890"
"Jeremy Hellickson","9.6","4.7","-0.1","4.5","48.4","5.0","$35.8","4371"
"Andy Sonnanstine","0.8","-0.8","-3.4","-4.2","47.3","5.0","$28.7","7667"
"Bryan Rekar","2.1","-1.3","-1.5","-2.8","53.1","5.0","","625"
"Mark Hendrickson","2.1","-0.1","-2.6","-2.7","49.7","4.8","$21.7","1574"
"Joe Kennedy","1.5","-0.6","-2.5","-3.1","46.9","4.6","$12.7","1217"
"Rolando Arrojo","7.0","-0.4","3.0","2.6","45.3","4.3","","174"
"Tyler Glasnow","4.8","1.0","-0.2","0.8","38.8","4.0","$32.0","14374"
"Paul Wilson","2.9","-0.5","-0.6","-1.0","40.7","4.0","$4.8","1234"
"Drew Smyly","4.3","1.6","-1.3","0.3","37.6","4.0","$31.4","11760"
"Ryan Rupe","1.0","0.7","-3.5","-2.8","40.3","3.8","$4.5","1223"
"Tanyon Sturtze","4.9","-1.4","2.7","1.2","37.8","3.6","$5.5","1230"
"Wade Davis","4.4","1.4","-0.6","0.8","34.8","3.6","$24.0","7441"
"Tony Saunders","2.9","-1.3","1.0","-0.3","33.3","3.2","","1011463"
"Ryan Yarbrough","2.1","0.6","-1.5","-0.9","29.9","3.0","$24.0","16502"
"Wilson Alvarez","3.8","1.4","-0.6","0.8","31.9","3.0","($0.7)","1193"
"Edwin Jackson","2.3","-1.3","0.7","-0.7","29.8","2.9","$17.3","1841"
"Erasmo Ramirez","2.8","0.7","-0.6","0.1","25.5","2.7","$21.6","10314"
"Albie Lopez","3.3","0.1","0.6","0.7","28.0","2.6","","102"
"Matt Andriese","1.8","-0.5","0.0","-0.5","22.8","2.3","$18.5","12022"
"Yonny Chirinos","3.1","0.6","0.2","0.9","22.5","2.2","$17.8","16401"
"Ryne Stanek","2.6","0.7","-0.1","0.6","20.7","2.1","$16.5","15947"
"Victor Zambrano","5.1","2.0","1.2","3.1","21.1","2.0","$8.3","1237"
"Steve Trachsel","2.2","-0.6","0.9","0.3","20.8","1.9","","898"
"Bobby Witt","0.1","-1.3","-0.4","-1.7","19.6","1.8","","1014170"
"Geremi Gonzalez","2.7","1.4","-0.4","1.1","16.7","1.6","$7.0","1711"
"Rob Bell","1.0","1.6","-2.1","-0.5","16.4","1.6","$6.7","1492"
"Dave Eiland","-0.2","-0.6","-1.2","-1.8","16.7","1.6","","1003714"
"Nathan Karns","2.6","0.7","0.5","1.2","13.0","1.4","$10.9","12638"
"Casey Fossum","-1.2","0.0","-2.5","-2.5","13.7","1.3","$6.1","188"
"Jake Faria","2.0","0.8","-0.1","0.7","12.6","1.3","$10.1","13699"
"J.P. Howell","-0.5","-1.5","-0.2","-1.7","11.5","1.1","$5.7","8245"
"Jorge Sosa","1.0","1.2","-1.1","0.1","9.0","0.9","$3.7","1228"
"Jason Hammel","-0.4","-0.9","-0.4","-1.3","8.7","0.8","$4.6","4538"
"Alex Colome","1.8","0.5","0.6","1.1","7.1","0.8","$6.0","6661"
"Brendan McKay","-0.1","-0.3","-0.5","-0.9","7.5","0.7","$5.8","20186"
"Nathan Eovaldi","0.8","0.6","-0.5","0.1","7.0","0.7","$5.7","9132"
"Hunter Wood","0.4","-0.7","0.4","-0.3","6.5","0.7","$5.4","15091"
"Diego Castillo","0.5","-0.1","-0.1","-0.2","6.1","0.6","$5.1","17496"
"Esteban Yan","-0.1","-0.4","-0.3","-0.7","6.6","0.6","","1236"
"Tim Corcoran","1.2","0.5","0.2","0.6","5.6","0.5","$2.6","2351"
"Austin Pruitt","1.4","0.5","0.3","0.8","5.4","0.5","$4.3","15290"
"Wilmer Font","1.0","0.5","0.0","0.5","4.9","0.5","$4.2","5257"
"Cory Lidle","0.0","0.1","-0.6","-0.5","5.4","0.5","","926"
"Julio Santana","0.8","0.5","-0.2","0.3","5.0","0.5","","496"
"Brian Stokes","0.6","-0.2","0.4","0.2","4.4","0.4","$2.1","8653"
"Dan Wheeler","0.0","-0.6","0.2","-0.4","4.1","0.4","","120"
"Andrew Kittredge","-0.1","-0.4","-0.1","-0.5","3.6","0.4","$2.8","12828"
"Chad Gaudin","0.2","-0.4","0.3","-0.1","2.9","0.3","$1.2","1783"
"Jason Johnson","0.3","-0.4","0.5","0.1","2.6","0.2","","147"
"Josh Fleming","0.8","0.1","0.4","0.5","2.4","0.2","$1.9","20418"
"Dewon Brazelton","-0.9","0.7","-1.8","-1.1","1.7","0.2","$0.7","1195"
"Rick Gorecki","0.2","0.1","0.0","0.1","1.6","0.2","","1004878"
"Roberto Hernandez","-0.4","-0.5","0.0","-0.6","1.4","0.1","$1.1","3273"
"John Halama","-0.1","-0.4","0.2","-0.2","1.2","0.1","$0.5","1080"
"Doug Waechter","-1.2","0.8","-2.0","-1.3","0.0","0.1","$0.8","1814"
"Erik Bedard","-0.5","-0.3","-0.3","-0.6","0.7","0.1","$0.5","126"
"Mickey Callaway","-0.2","-0.2","-0.1","-0.3","0.8","0.1","","7"
"Hideo Nomo","-1.4","-0.8","-0.7","-1.5","0.7","0.1","$0.3","666"
"Trevor Richards","0.5","-0.1","0.6","0.5","0.2","0.1","$0.4","19309"
"Jason Standridge","0.0","0.2","-0.1","0.0","-0.7","0.0","($1.2)","1229"
"Terrell Wade","0.1","-0.1","0.2","0.1","-0.1","0.0","","1013474"
"Jae Seo","-1.0","-1.6","0.7","-0.9","-1.0","-0.1","($0.5)","895"
"Delvin James","-0.4","-0.1","-0.2","-0.3","-1.1","-0.1","($0.4)","1215"
"Seth McClung","-1.1","0.6","-1.6","-1.0","-1.4","-0.1","($0.6)","1657"
"Jalen Beeks","-0.5","-0.3","0.0","-0.4","-2.1","-0.2","($1.5)","17192"
"Paul Abbott","-0.7","0.4","-0.9","-0.5","-2.1","-0.2","($0.8)","1061"
"Brian Rose","-0.6","-0.4","0.0","-0.4","-2.2","-0.2","","1011201"
"Jim Parque","-0.9","-0.4","-0.3","-0.7","-2.3","-0.2","($0.9)","250"
"Cesar Ramos","-0.3","0.3","-0.3","0.0","-2.5","-0.3","($1.9)","3357"
"Nick Bierbrodt","-1.1","-1.1","0.3","-0.9","-3.5","-0.3","($2.5)","1194"
"Luis de los Santos","-0.7","-0.3","-0.1","-0.4","-4.0","-0.3","($1.4)","1203"
"Rick White","-0.1","0.0","0.3","0.2","-4.1","-0.4","","456"
"Carlos Reyes","-0.2","0.3","-0.1","0.1","-4.3","-0.4","($1.5)","1721"
"Steve Parris","-0.2","0.2","0.2","0.4","-6.3","-0.5","($2.3)","1316"
"Travis Harper","-0.6","0.3","-0.2","0.1","-8.5","-0.7","($1.6)","1211"
"Dwight Gooden","-0.4","0.1","0.4","0.4","-10.1","-0.8","","1004852"
"Dennis Springer","-0.3","0.7","0.1","0.8","-12.3","-1.1","","672"
