"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Roger Clemens","80.5","2.9","0.8","3.7","700.6","76.8","","815"
"Cy Young","72.2","10.0","7.4","17.4","468.7","54.8","","1014369"
"Pedro Martinez","55.4","4.0","-0.5","3.5","475.6","51.9","$81.1","200"
"Lefty Grove","43.8","2.5","6.7","9.2","348.3","34.6","","1005099"
"Mel Parnell","36.3","0.9","4.0","4.9","300.1","31.4","","1010017"
"Frank Sullivan","30.2","-1.2","1.1","-0.1","276.8","30.3","","1012691"
"Bill Monbouquette","24.4","-4.8","0.2","-4.6","269.3","29.0","","1009048"
"Luis Tiant","38.7","5.1","4.8","9.9","259.2","28.8","","1013054"
"Jon Lester","33.5","-1.6","7.3","5.8","260.2","27.7","$184.3","4930"
"Joe Dobson","28.9","2.5","0.1","2.5","250.5","26.4","","1003344"
"Joe Wood","31.8","4.8","0.8","5.6","228.8","26.2","","1014224"
"Tim Wakefield","32.4","15.5","-8.3","7.2","260.1","25.2","$80.6","219"
"Tex Hughson","32.1","2.9","4.4","7.3","216.2","24.8","","1006169"
"Tom Brewer","19.7","-0.3","-1.5","-1.8","202.1","21.5","","1001409"
"Josh Beckett","24.0","2.5","0.1","2.7","204.3","21.3","$133.6","510"
"Willard Nixon","12.2","-5.3","-3.2","-8.5","193.3","20.7","","1009610"
"Dutch Leonard","29.3","2.0","7.0","8.9","172.0","20.3","","1007532"
"Bruce Hurst","20.8","-7.2","8.2","1.0","192.0","19.9","","1006222"
"Ray Collins","23.9","2.1","2.5","4.6","168.8","19.3","","1002462"
"Dennis Eckersley","22.7","1.0","2.8","3.8","178.5","18.8","","1003660"
"Ray Culp","14.8","1.0","-4.2","-3.2","157.9","18.0","","1002869"
"Chris Sale","16.0","-0.2","-1.3","-1.4","158.9","17.4","$139.2","10603"
"Bill Dineen","22.8","4.9","1.4","6.3","150.2","16.5","","1003317"
"Fritz Ostermueller","15.5","0.1","-1.0","-0.9","174.2","16.4","","1009883"
"George Winter","14.3","4.0","-5.3","-1.3","143.2","15.7","","1014145"
"Jim Lonborg","9.8","-3.2","-2.6","-5.8","137.4","15.6","","1007724"
"Wes Ferrell","17.2","0.4","1.7","2.1","158.1","15.1","","1004010"
"Curt Schilling","16.4","-1.7","3.1","1.3","146.1","15.0","$69.9","73"
"Bill Lee","20.4","-2.0","7.6","5.5","138.5","14.9","","1007448"
"Howard Ehmke","15.3","1.2","-0.7","0.5","151.1","14.8","","1003707"
"Clay Buchholz","19.0","2.2","2.8","5.0","130.5","14.0","$98.8","3543"
"Rick Porcello","11.2","-1.2","-0.6","-1.8","127.4","13.0","$104.4","2717"
"Jack Quinn","12.0","-0.5","-0.4","-0.9","131.0","12.9","","1010605"
"Jack Russell","6.4","-4.2","-2.2","-6.4","134.7","12.8","","1011313"
"Ellis Kinder","16.4","1.2","2.7","3.9","123.8","12.6","","1006922"
"Red Ruffing","6.6","-1.7","-4.1","-5.8","127.9","12.4","","1011296"
"Sonny Siebert","9.3","-0.8","-2.2","-3.0","110.4","12.4","","1011951"
"Babe Ruth","25.4","12.0","1.1","13.1","104.8","12.3","","1011327"
"Danny MacFayden","13.4","1.2","0.0","1.3","129.2","12.1","","1007904"
"Oil Can Boyd","13.4","-0.3","1.6","1.3","116.1","12.1","","1001279"
"Dave Ferriss","12.7","-2.8","3.7","0.9","107.2","11.9","","1004012"
"Herb Pennock","12.8","-1.2","2.2","1.0","115.5","11.8","","1010161"
"Mike Torrez","9.0","-4.4","1.7","-2.7","113.1","11.7","","1013134"
"Mickey McDermott","14.8","2.3","1.0","3.3","110.6","11.5","","1008448"
"Jack Wilson","9.4","-1.0","-1.0","-2.0","120.4","11.4","","1014087"
"Sam Jones","13.3","0.7","1.9","2.7","104.7","10.7","","1006589"
"Eduardo Rodriguez","13.4","-0.4","3.2","2.8","104.9","10.6","$84.9","13164"
"Earl Wilson","9.6","0.4","-1.4","-1.0","98.5","10.5","","1014073"
"Derek Lowe","11.2","1.2","-0.3","0.8","103.5","10.4","$37.8","199"
"Mickey Harris","8.4","-2.3","0.4","-1.9","98.0","10.3","","1005424"
"David Price","11.0","-0.6","1.4","0.8","99.8","10.2","$81.8","3184"
"Carl Mays","19.1","7.0","2.0","9.0","86.4","10.1","","1008313"
"Ernie Shore","15.3","3.4","1.8","5.3","86.1","10.0","","1011927"
"Denny Galehouse","7.8","-2.1","0.2","-2.0","95.9","9.8","","1004443"
"Aaron Sele","9.0","-1.9","1.4","-0.6","99.1","9.5","","34"
"Ike Delock","10.1","-0.4","1.1","0.7","89.7","9.4","","1003179"
"Mike Boddicker","10.7","-1.2","2.8","1.6","83.7","9.1","","1001111"
"Joe Bush","11.3","0.2","2.4","2.6","82.8","8.7","","1001754"
"John Lackey","7.3","-2.5","1.1","-1.3","82.0","8.7","$60.2","1507"
"Jesse Tannehill","12.8","0.0","4.1","4.1","73.5","8.7","","1012822"
"Eddie Cicotte","8.9","-0.6","1.0","0.3","74.8","8.6","","1002236"
