"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Paul Derringer","41.7","-3.6","-0.2","-3.9","437.0","45.6","","1003224"
"Eppa Rixey","50.2","7.9","0.6","8.6","419.7","41.7","","1011008"
"Noodles Hahn","48.6","4.8","5.2","10.0","368.3","38.6","","1005205"
"Dolf Luque","49.2","12.3","1.2","13.5","355.9","35.7","","1007843"
"Jose Rijo","36.4","-0.9","3.1","2.2","301.3","34.2","$0.5","349"
"Jim Maloney","37.1","3.9","-0.1","3.7","276.0","33.4","","1008039"
"Bob Ewing","30.8","-0.2","-1.5","-1.7","278.3","32.5","","1003880"
"Joe Nuxhall","29.1","-4.2","2.4","-1.8","282.9","30.9","","1009665"
"Pete Donohue","25.7","-1.4","-2.9","-4.3","301.7","30.0","","1003390"
"Bucky Walters","48.2","12.7","7.4","20.0","265.2","28.2","","1013583"
"Jim O'Toole","24.3","-0.7","-2.6","-3.3","243.3","27.6","","1009897"
"Gary Nolan","35.4","7.7","1.3","9.0","226.4","26.4","","1009616"
"Johnny Vander Meer","32.0","5.7","0.6","6.3","238.6","25.7","","1013350"
"Ewell Blackwell","23.2","2.2","-3.8","-1.6","229.7","24.8","","1001013"
"Frank Dwyer","39.4","2.7","12.4","15.1","298.8","24.3","","1003607"
"Tony Mullane","46.6","13.7","8.6","22.3","282.3","24.3","","1009291"
"Red Lucas","28.6","9.8","-4.3","5.5","235.8","23.1","","1007808"
"Mario Soto","26.3","9.4","-6.2","3.2","200.2","23.1","","1012289"
"Billy Rhines","30.5","5.4","2.1","7.5","274.2","23.1","","1010880"
"Aaron Harang","17.8","-4.2","-0.2","-4.5","218.0","22.2","$115.2","1451"
"Ken Raffensberger","24.2","1.5","1.7","3.2","202.7","20.9","","1010646"
"Johnny Cueto","28.8","7.9","0.3","8.2","188.7","20.6","$145.6","6893"
"Bob Purkey","27.5","6.3","1.0","7.3","189.1","20.2","","1010572"
"Rube Benton","14.2","-1.2","-1.9","-3.1","167.5","17.3","","1000857"
"Tom Browning","22.8","4.2","1.6","5.8","158.5","17.0","","1001566"
"Tom Seaver","21.3","7.9","-1.6","6.3","133.9","15.0","","1011708"
"Jakie May","9.9","-5.3","1.1","-4.3","145.4","14.1","","1008301"
"Bronson Arroyo","20.8","7.2","-0.4","6.7","138.8","14.1","$77.6","978"
"Don Gullett","20.6","5.4","1.2","6.6","125.5","14.0","","1005134"
"George Suggs","14.7","-1.1","1.9","0.7","132.5","14.0","","1012673"
"Bill Phillips","7.4","-1.5","-4.9","-6.5","142.6","13.9","","1010282"
"John Smiley","9.8","-1.7","-2.1","-3.8","132.5","13.7","","1012084"
"Homer Bailey","7.5","-3.4","-2.6","-6.0","125.0","13.5","$94.9","8362"
"Elmer Smith","20.2","3.2","3.9","7.1","150.6","13.1","","1012134"
"Fred Norman","18.5","4.8","0.8","5.6","119.2","12.9","","1009632"
"Ted Breitenstein","17.9","3.6","1.6","5.2","143.0","12.7","","1001383"
"Joey Jay","15.9","1.2","2.0","3.2","116.5","12.7","","1006373"
"Fred Toney","18.6","3.2","3.0","6.2","102.1","12.4","","1013116"
"Will White","45.4","13.3","20.2","33.5","137.9","11.9","","1013897"
"Jack Billingham","11.8","-1.8","2.2","0.3","104.8","11.5","","1000970"
"Howie Fox","6.0","-1.4","-3.8","-5.1","109.7","11.2","","1004278"
"Art Fowler","8.4","-2.5","-0.2","-2.7","106.1","11.1","","1004268"
"Carl Mays","11.9","2.1","-1.0","1.1","106.4","10.9","","1008313"
"Frank Pastore","5.4","-1.6","-3.5","-5.1","93.8","10.5","","1010048"
"Luis Castillo","11.6","1.9","-0.8","1.2","100.7","10.4","$83.2","15689"
"Bruce Berenyi","6.1","-2.9","-1.4","-4.3","91.5","10.4","","1000864"
"Jesse Duryea","14.9","2.3","2.3","4.6","120.9","10.3","","1003599"
"Si Johnson","3.5","0.3","-7.0","-6.7","100.8","10.2","","1006502"
"Hod Eller","12.1","0.0","1.9","1.9","86.2","10.2","","1003729"
"Mike Leake","13.5","1.8","1.9","3.7","91.9","9.8","$72.1","10130"
"Brooks Lawrence","9.3","0.5","-0.9","-0.5","92.0","9.7","","1007398"
"Mat Latos","9.6","1.7","-1.7","0.0","85.4","9.6","$68.9","3815"
"Elton Chamberlain","10.8","1.0","0.8","1.8","110.8","9.1","","1002122"
"Benny Frey","4.7","-2.8","-1.4","-4.1","93.9","8.8","","1004342"
"Tom Parrott","6.9","-2.3","0.7","-1.7","116.7","8.6","","1010025"
"Lee Viau","13.2","2.1","2.8","4.9","92.3","8.3","","1013420"
"Art Fromme","13.1","4.5","0.4","4.8","77.4","8.2","","1004375"
"Anthony DeSclafani","8.0","-0.3","0.0","-0.2","78.6","8.2","$65.7","13050"
"Ray Kolp","10.6","1.4","1.0","2.4","86.6","8.2","","1007088"
"Pete Schneider","8.2","-2.7","2.9","0.1","68.1","8.1","","1011597"
"Milt Pappas","5.0","-1.6","-1.3","-2.9","67.2","7.9","","1009989"
"Danny Jackson","6.8","0.7","-1.7","-1.0","68.6","7.8","","1006295"
"Larry Benton","3.9","-2.3","-1.6","-3.8","80.5","7.7","","1000855"
"Ed Heusser","10.9","1.4","1.8","3.3","70.9","7.6","","1005756"
"Jack Harper","5.2","-0.7","-1.6","-2.3","66.5","7.5","","1005380"
"Harry Gaspar","11.1","0.9","3.1","4.0","65.8","7.1","","1004560"
"Brett Tomko","6.6","2.1","-2.3","-0.2","68.6","6.8","","1056"
"Red Ehret","8.3","-0.4","1.9","1.5","80.9","6.7","","1003708"
"Elmer Riddle","12.7","2.7","3.2","6.0","61.8","6.7","","1010946"
"Pete Harnisch","11.7","4.9","0.2","5.0","67.7","6.6","","1005374"
"Al Hollingsworth","3.3","-0.5","-2.7","-3.3","66.9","6.6","","1005955"
"Elmer Dessens","9.6","0.8","2.5","3.3","63.8","6.3","$6.2","317"
"Pink Hawley","7.4","0.0","1.4","1.4","65.8","6.1","","1005517"
"Jim Merritt","5.0","-1.1","0.2","-0.9","54.4","5.9","","1008789"
"Jake Weimer","10.9","1.2","3.7","5.0","50.2","5.9","","1013738"
"Don Newcombe","7.9","-0.1","2.1","2.0","54.7","5.8","","1009529"
"Tim Belcher","3.7","0.9","-3.0","-2.2","52.7","5.8","","1000789"
"Frank Foreman","9.0","1.7","1.6","3.2","73.1","5.8","","1004229"
"Pete Schourek","5.5","1.0","-1.1","-0.1","53.9","5.6","","1011608"
"Andy Coakley","7.3","-2.0","3.8","1.8","46.3","5.5","","1002372"
"Steve Parris","7.1","0.3","1.5","1.8","54.8","5.3","","1316"
"Sammy Ellis","4.4","0.3","-1.1","-0.9","45.5","5.2","","1003753"
"Junior Thompson","6.5","2.8","-1.5","1.3","51.2","5.2","","1013017"
"Peaches Davis","4.7","-1.6","1.1","-0.5","52.3","5.2","","1003073"
"Ron Robinson","2.5","-1.2","-1.4","-2.6","48.1","5.2","","1011076"
"Johnny Klippstein","5.0","-0.1","0.1","0.0","48.5","5.0","","1007013"
"Gene Schott","5.0","2.9","-2.8","0.1","49.9","4.9","","1011607"
"Red Ames","4.8","-1.3","1.3","-0.1","44.1","4.9","","1000210"
"Jack Rowan","5.4","0.4","0.2","0.6","42.2","4.8","","1011250"
"Lee Grissom","4.8","0.8","-0.8","0.0","47.2","4.8","","1005073"
