"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Kevin Appier","47.4","5.4","0.4","5.8","404.2","41.7","$0.2","3"
"Mark Gubicza","35.7","-1.8","0.5","-1.3","354.3","37.0","","1005115"
"Bret Saberhagen","38.4","1.8","0.0","1.8","335.6","36.6","","1011355"
"Dennis Leonard","32.0","0.2","-1.1","-0.9","306.0","32.9","","1007531"
"Paul Splittorff","28.1","-0.8","-3.1","-3.9","296.5","32.0","","1012346"
"Zack Greinke","22.1","-2.7","2.3","-0.4","211.7","22.5","$132.9","1943"
"Charlie Leibrandt","22.5","0.0","4.1","4.1","178.7","18.4","","1007492"
"Dick Drago","14.7","-5.4","3.5","-2.0","149.9","16.6","","1003475"
"Steve Busby","16.4","-0.5","1.1","0.5","141.0","15.9","","1001745"
"Danny Duffy","18.6","0.9","4.0","4.9","133.0","13.7","$107.7","3542"
"Larry Gura","22.5","10.5","-1.6","8.9","128.3","13.6","","1005150"
"Danny Jackson","10.7","-2.5","0.4","-2.0","123.4","12.7","","1006295"
"Tom Gordon","10.1","-1.1","-1.3","-2.4","124.6","12.5","","282"
"Jose Rosado","12.0","4.1","-3.3","0.7","118.1","11.3","","1011192"
"Al Fitzmorris","15.1","2.0","1.9","3.9","102.3","11.2","","1004119"
"Bud Black","11.2","2.6","-1.2","1.4","94.6","9.8","","1001007"
"Jeff Suppan","12.9","2.9","1.0","3.9","94.9","9.0","$5.0","633"
"Gil Meche","9.0","-0.2","0.6","0.3","85.3","8.7","$51.7","1089"
"David Cone","12.9","4.3","0.9","5.2","77.4","7.7","","1680"
"Luke Hochevar","0.9","-1.3","-5.4","-6.7","74.8","7.6","$50.3","6943"
"James Shields","10.4","0.2","2.7","2.9","68.3","7.5","$56.3","7059"
"Tim Belcher","10.6","2.2","1.0","3.1","80.7","7.5","","1000789"
"Jim Rooker","1.8","-1.6","-3.7","-5.3","64.5","7.0","","1011183"
"Bruce Dal Canton","4.4","-0.5","-1.9","-2.4","59.3","6.8","","1002936"
"Yordano Ventura","9.6","0.3","2.6","2.9","63.8","6.8","$53.3","11855"
"Chris Haney","3.5","-0.3","-2.7","-3.1","69.1","6.5","","192"
"Roger Nelson","8.1","2.2","-0.1","2.1","52.2","6.1","","1009511"
"Brad Keller","8.6","1.1","1.7","2.8","57.6","5.8","$46.5","15734"
"Bruce Chen","6.6","1.1","0.0","1.1","53.9","5.5","$38.3","769"
"Brian Bannister","3.3","1.1","-3.2","-2.1","54.1","5.3","$32.3","5718"
"Marty Pattin","6.4","3.0","-1.9","1.1","49.4","5.3","","1010074"
"Hipolito Pichardo","5.4","0.4","0.0","0.4","49.9","5.0","","1472"
"Jason Vargas","8.0","0.4","2.7","3.1","46.8","4.9","$38.1","8044"
"Mike Hedlund","5.1","0.9","-0.4","0.5","41.6","4.6","","1005575"
"Edinson Volquez","3.6","-0.9","0.1","-0.8","42.6","4.4","$35.2","3990"
"Rich Gale","3.8","1.2","-1.8","-0.6","43.0","4.4","","1004444"
"Paul Byrd","6.3","1.5","0.6","2.0","43.6","4.3","$12.1","594"
"Darrell May","5.9","1.4","0.5","1.9","41.8","4.0","$17.1","613"
"Kyle Davies","1.1","-2.5","-0.4","-2.9","39.9","4.0","$25.5","3642"
"Luis Aquino","4.4","0.0","0.6","0.5","36.8","3.9","","1000285"
"Jakob Junis","4.6","-1.0","1.8","0.8","38.3","3.7","$30.0","13619"
"Bill Butler","4.0","0.4","0.1","0.5","32.5","3.5","","1001771"
"Ian Kennedy","6.6","2.4","1.2","3.6","30.5","3.1","$24.5","6986"
"Glendon Rusch","0.6","-2.1","-0.3","-2.4","31.8","3.0","","707"
"Jeremy Guthrie","6.7","0.0","3.9","3.9","26.4","2.8","$19.3","2072"
"Runelvys Hernandez","2.5","-0.1","-0.1","-0.2","26.6","2.7","$11.2","1528"
"Wally Bunker","4.5","2.0","-0.2","1.9","24.7","2.6","","1001652"
