"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Andy Pettitte","49.2","-9.1","1.5","-7.5","561.1","56.7","$147.8","840"
"Whitey Ford","78.2","7.8","15.5","23.3","508.1","54.9","","1004227"
"Ron Guidry","50.3","3.6","-0.6","3.0","436.4","47.3","","1005124"
"Red Ruffing","67.6","19.6","4.6","24.2","448.0","43.4","","1011296"
"Lefty Gomez","57.4","14.0","8.7","22.7","358.0","34.7","","1004821"
"Mike Mussina","29.5","-2.7","-2.3","-5.0","334.1","34.5","$130.3","837"
"Mel Stottlemyre","45.1","4.6","6.4","11.0","308.2","34.2","","1012579"
"Herb Pennock","40.5","-0.7","8.0","7.3","339.9","33.3","","1010161"
"CC Sabathia","31.9","0.0","0.3","0.3","298.0","31.6","$222.5","404"
"Jack Chesbro","26.8","1.3","-4.7","-3.4","250.7","30.2","","1002179"
"Bob Shawkey","49.1","10.5","8.9","19.4","285.5","29.7","","1011825"
"Waite Hoyt","42.7","6.8","6.4","13.2","301.7","29.4","","1006115"
"Fritz Peterson","24.3","-1.4","-3.7","-5.1","258.3","29.4","","1010227"
"Spud Chandler","36.7","9.4","2.7","12.1","224.6","24.6","","1002133"
"Tommy John","21.6","-2.3","0.0","-2.3","227.5","23.9","","1006515"
"Vic Raschi","28.2","7.6","-2.7","4.9","226.9","23.3","","1010702"
"Roger Clemens","20.3","-0.3","-2.2","-2.5","227.7","22.8","$44.8","815"
"Allie Reynolds","32.9","5.1","6.9","11.9","204.0","21.0","","1010860"
"Ed Lopat","30.1","2.6","7.5","10.1","196.1","20.0","","1007748"
"Al Downing","18.7","0.9","-1.5","-0.6","170.8","19.3","","1003450"
"Ray Caldwell","27.7","4.3","4.2","8.5","171.4","19.2","","1001832"
"Masahiro Tanaka","19.6","3.4","-2.7","0.8","180.6","18.9","$149.7","15764"
"David Cone","20.5","2.4","-0.1","2.3","184.7","18.2","","1680"
"Jack Quinn","14.8","0.2","-3.5","-3.3","165.9","18.1","","1010605"
"Ray Fisher","17.7","-2.8","2.8","-0.1","155.8","17.7","","1004095"
"Russ Ford","20.3","3.4","-0.3","3.1","151.2","17.3","","1004223"
"Tiny Bonham","29.7","6.9","5.7","12.6","154.5","17.1","","1001166"
"David Wells","16.2","1.0","-1.6","-0.6","167.0","16.8","$33.1","855"
"Al Orth","14.6","0.4","-2.1","-1.7","134.3","16.3","","1009857"
"George Pipgras","15.4","2.9","-3.4","-0.5","165.0","15.9","","1010363"
"Ralph Terry","18.0","5.0","-1.6","3.4","141.0","14.7","","1012929"
"Orlando Hernandez","17.7","6.8","-2.8","4.0","140.7","13.7","$18.0","823"
"Rudy May","12.2","3.5","-4.0","-0.5","115.8","12.7","","1008310"
"Jimmy Key","14.5","0.7","1.4","2.1","126.1","12.4","","1006885"
"Luis Severino","11.1","-0.3","-0.8","-1.1","113.9","12.2","$97.8","15890"
"Carl Mays","21.6","7.0","2.4","9.5","121.3","12.2","","1008313"
"Dave Righetti","9.5","1.0","-3.5","-2.5","107.4","11.9","","1010958"
"Melido Perez","8.7","0.4","-3.1","-2.7","109.9","11.4","","1010183"
"Ed Figueroa","14.7","3.0","0.5","3.6","106.0","11.2","","1004037"
"Doc Medich","14.0","1.0","2.4","3.4","98.7","10.6","","1008714"
"Jack Warhop","13.8","1.7","1.7","3.4","94.1","10.4","","1013628"
"Chien-Ming Wang","12.4","1.8","0.2","2.0","104.0","10.4","$55.1","2074"
"George Mogridge","11.8","1.6","-0.1","1.5","89.9","10.3","","1009029"
"Catfish Hunter","15.2","9.6","-4.6","5.0","92.5","10.2","","1006199"
"Stan Bahnsen","14.7","1.6","3.0","4.6","90.1","10.1","","1000414"
"Sam Jones","11.1","2.4","-1.4","1.0","106.2","10.1","","1006589"
"Urban Shocker","17.7","3.2","4.4","7.6","100.5","10.0","","1011918"
"Michael Pineda","6.6","-1.8","-1.4","-3.2","91.1","9.8","$77.7","5372"
"Hiroki Kuroda","11.5","2.4","-0.8","1.7","90.8","9.8","$70.0","3283"
"Hank Borowy","15.7","4.1","2.2","6.3","84.1","9.4","","1001208"
"Monte Pearson","17.6","3.4","5.0","8.4","99.7","9.2","","1010111"
"Johnny Allen","10.7","3.2","-1.2","2.0","90.7","8.8","","1000150"
"Joe Bush","15.9","3.8","3.7","7.5","87.3","8.5","","1001754"
"Jim Bouton","14.1","4.6","1.2","5.8","78.1","8.3","","1001241"
"Marius Russo","14.1","3.6","2.2","5.8","82.7","8.3","","1011324"
"Bob Turley","19.7","6.9","4.6","11.5","78.4","8.2","","1013225"
"Phil Hughes","5.2","0.2","-3.2","-2.9","79.2","8.1","$51.8","7450"
"Harry Howell","3.8","-0.8","-3.5","-4.3","83.1","8.1","","1006097"
"Bill Bevens","11.5","1.6","2.4","3.9","68.1","7.6","","1000937"
"Randy Johnson","5.9","1.5","-3.0","-1.4","72.8","7.3","$34.7","60"
"Joe McGinnity","8.7","1.0","0.3","1.4","76.2","7.3","","1008527"
"Atley Donald","12.0","3.4","1.4","4.8","69.6","7.2","","1003376"
"Steve Kline","9.1","3.5","-1.3","2.3","61.5","6.8","","1007005"
"Pat Dobson","7.7","-0.4","1.2","0.9","63.3","6.8","","1003345"
"Jack Powell","5.2","-0.7","-0.9","-1.5","57.2","6.7","","1010487"
"Shane Rawley","3.9","-1.5","-1.0","-2.6","61.6","6.5","","1010719"
"Bill Stafford","10.5","3.3","0.9","4.2","61.4","6.3","","1012375"
"Joe Lake","0.4","-0.6","-5.1","-5.7","48.7","6.2","","1007262"
"Johnny Kucks","6.2","1.5","-1.4","0.0","59.2","6.1","","1007196"
"Tom Sturdivant","8.8","1.4","1.3","2.7","57.7","6.1","","1012654"
"Johnny Broaca","9.2","1.1","2.1","3.2","66.0","6.0","","1001453"
"Ray Keating","1.3","-1.7","-3.0","-4.7","52.5","6.0","","1006735"
"Clark Griffith","7.1","1.6","-0.5","1.2","52.6","5.9","","1005038"
"Hippo Vaughn","3.5","-1.0","-1.3","-2.3","51.5","5.9","","1013384"
"Ivan Nova","6.9","-1.3","2.5","1.2","54.4","5.7","$41.2","1994"
"Scott Sanderson","3.1","0.2","-2.2","-2.0","48.6","5.2","","1011422"
"Luis Tiant","3.1","0.6","-2.6","-2.0","49.4","5.1","","1013054"
"Dennis Rasmussen","7.0","4.7","-2.7","2.0","49.8","5.0","","1010703"
"Scott Kamieniecki","7.4","1.1","1.3","2.4","49.4","5.0","","1006681"
"Dick Tidrow","4.0","-0.2","-0.8","-1.0","46.3","5.0","","1013056"
"Bill Hogg","3.0","-1.8","-0.2","-2.0","42.4","5.0","","1005927"
"Marv Breuer","5.5","1.2","-0.7","0.5","48.0","5.0","","1001403"
"Ramiro Mendoza","3.0","-0.8","-1.0","-1.8","51.0","4.8","","836"
"Phil Niekro","7.0","-0.1","2.2","2.2","46.4","4.8","","1009583"
"A.J. Burnett","4.1","-1.0","0.3","-0.7","47.9","4.8","$30.7","512"
"Slow Joe Doyle","3.3","0.6","-2.0","-1.4","38.2","4.7","","1003469"
"Marty McHale","1.8","-1.8","-1.1","-2.9","40.0","4.7","","1008563"
"Bump Hadley","10.0","3.2","2.2","5.4","50.7","4.6","","1005186"
"George McConnell","2.1","0.5","-2.9","-2.5","42.1","4.6","","1008406"
"Doc Newton","1.1","-1.9","-1.5","-3.4","36.7","4.5","","1009550"
"Ray Fontenot","3.7","-1.8","0.9","-0.9","42.9","4.5","","1004207"
"Bobby Shantz","5.8","-0.3","1.6","1.4","41.7","4.5","","1011804"
"Rick Rhoden","4.6","0.2","0.0","0.2","44.5","4.4","","1010887"
"Butch Wensloff","5.4","2.3","-1.3","1.0","38.1","4.4","","1013778"
"Nick Cullop","2.7","-1.9","0.3","-1.6","36.0","4.3","","1002864"
"Jesse Tannehill","1.9","-1.5","-0.9","-2.4","39.0","4.3","","1012822"
"Art Ditmar","8.5","4.9","-0.7","4.2","41.3","4.3","","1003328"
"Jordan Montgomery","3.8","0.4","-0.6","-0.3","39.9","4.0","$32.2","16511"
"Joe Page","1.2","-0.8","-1.9","-2.7","35.4","3.9","","1009951"
"Nathan Eovaldi","3.2","-1.3","0.6","-0.7","36.3","3.9","$31.0","9132"
"John Candelaria","3.0","0.3","-1.2","-0.9","35.0","3.8","","1001909"
"James Paxton","2.7","-0.7","-0.4","-1.1","38.1","3.8","$30.5","11828"
"Kevin Brown","1.5","-1.5","-0.8","-2.2","37.6","3.8","$16.6","642"
"Bob Grim","3.6","0.3","-0.5","-0.2","35.0","3.8","","1005060"
"Sterling Hitchcock","2.9","0.1","-0.9","-0.8","38.5","3.7","$0.9","824"
"Tom Hughes","2.2","-0.7","-0.7","-1.4","29.8","3.6","","1006164"
"Rube Manning","1.3","-1.9","-0.5","-2.3","29.0","3.6","","1008069"
"Johnny Sain","5.4","0.0","1.9","1.8","34.7","3.6","","1011373"
"Jim Abbott","4.4","1.2","-0.4","0.8","37.7","3.6","","1000012"
"Don Larsen","9.5","4.8","1.1","5.9","34.3","3.6","","1007359"
"Jon Lieber","2.3","-1.3","0.1","-1.3","35.4","3.5","$14.9","287"
"Jack McDowell","3.9","0.8","-0.4","0.4","36.4","3.5","","1008473"
"Joba Chamberlain","3.3","-1.0","0.8","-0.2","33.9","3.5","$21.8","2692"
"Tom Morgan","5.7","0.3","2.0","2.3","32.4","3.4","","1009184"
"Stan Williams","2.7","-0.8","0.2","-0.5","29.8","3.3","","1014039"
"Tim Leary","1.1","-0.1","-2.1","-2.2","31.1","3.3","","1007438"
"Chuck Cary","3.0","0.2","-0.4","-0.3","30.9","3.3","","1002027"
"Rollie Sheldon","2.9","0.5","-0.8","-0.4","32.1","3.2","","1011855"
"Bill Zuber","3.0","-0.5","0.3","-0.2","29.3","3.2","","1014460"
"Tom Hughes","1.4","-1.6","-0.2","-1.8","29.2","3.2","","1006163"
"Jeff Weaver","0.3","-1.9","-0.8","-2.8","31.1","3.1","$13.0","503"
"Spec Shea","7.1","4.0","0.1","4.1","29.8","3.1","","1011841"
"Don Gullett","3.6","0.4","0.2","0.6","29.1","3.0","","1005134"
"Slim Love","3.4","-1.7","2.1","0.4","25.5","3.0","","1007775"
"Larry Gura","4.0","-1.2","2.2","1.0","27.3","2.9","","1005150"
"Pat Malone","2.6","-0.7","0.3","-0.3","31.9","2.9","","1008044"
"Dwight Gooden","3.5","0.3","0.4","0.7","31.8","2.9","","1004852"
"Hideki Irabu","4.8","2.2","-0.3","1.9","30.8","2.9","","1255"
"Hank Thormahlen","6.1","2.4","0.9","3.3","26.1","2.8","","1013035"
"Tom Underwood","1.7","0.5","-1.6","-1.0","26.1","2.8","","1013281"
"Monk Dubiel","3.1","1.3","-0.9","0.4","25.1","2.7","","1003517"
"J.A. Happ","5.3","2.0","0.6","2.6","27.3","2.7","$21.3","7410"
"Bill Monbouquette","2.1","-0.3","-0.2","-0.5","22.6","2.6","","1009048"
"Kenny Rogers","1.8","1.3","-2.1","-0.8","28.9","2.6","","1277"
"Bob Kuzava","4.0","0.3","1.0","1.4","24.7","2.6","","1007226"
"Frank Foreman","1.5","-0.9","-0.2","-1.1","27.8","2.6","","1004229"
"Bob Tewksbury","2.2","-0.7","0.4","-0.3","24.4","2.5","","1012941"
"Roy Sherid","1.6","-0.9","0.1","-0.8","26.7","2.5","","1011874"
"Dave LaPoint","0.5","-1.9","-0.1","-2.0","23.6","2.5","","1007338"
"Barney Wolfe","2.0","0.5","-0.9","-0.3","21.9","2.4","","1014185"
"Jaret Wright","1.4","-1.0","0.0","-1.0","24.2","2.4","$11.4","415"
"Fred Heimach","2.2","1.7","-1.8","-0.1","24.3","2.3","","1005591"
"Russ Van Atta","0.4","-1.0","-0.9","-1.9","24.0","2.3","","1013337"
"Jim McDonald","2.2","1.0","-1.2","-0.1","22.2","2.3","","1008464"
"Bob Shirley","1.5","-0.5","-0.3","-0.8","22.0","2.3","","1011911"
"Freddy Garcia","2.2","-0.4","0.5","0.0","21.3","2.2","$16.2","1077"
"Vito Tamulis","3.0","0.0","0.8","0.8","22.8","2.2","","1012817"
"Al Gettel","2.9","1.4","-0.6","0.7","19.9","2.2","","1004644"
"Allan Russell","1.4","0.1","-0.9","-0.8","18.8","2.2","","1011310"
"Bartolo Colon","1.3","-0.4","-0.4","-0.8","20.4","2.1","$16.3","375"
"Mike Torrez","3.3","1.0","0.1","1.1","21.1","2.1","","1013134"
"Dutch Ruether","4.1","0.5","1.5","2.0","21.7","2.1","","1011291"
"Tommy Byrne","11.6","7.4","2.1","9.5","19.7","2.1","","1001801"
"Ed Wells","3.9","1.8","0.1","1.9","23.0","2.1","","1013766"
"Domingo German","1.6","1.0","-1.4","-0.4","21.3","2.1","$16.4","17149"
"Randy Gumpert","3.0","1.0","-0.1","1.0","18.1","2.0","","1005143"
"Ed Whitson","-0.9","-2.4","-0.6","-3.0","19.7","2.0","","1013911"
"Al Schulz","-0.4","-0.7","-1.8","-2.4","17.9","2.0","","1011623"
"David Phelps","1.6","-0.2","-0.1","-0.4","18.9","2.0","$14.5","6316"
"Jim Beattie","1.3","0.1","-0.7","-0.6","18.8","1.9","","1000731"
"Javier Vazquez","1.9","1.7","-1.8","-0.1","20.3","1.9","$8.0","801"
"Steve Barber","-0.3","-2.6","0.4","-2.2","16.7","1.9","","1000530"
"Tom Zachary","3.1","0.4","0.8","1.3","20.0","1.9","","1014405"
"Sonny Gray","1.4","-0.1","-0.4","-0.5","18.8","1.9","$15.1","12768"
"Ted Lilly","1.1","0.8","-1.6","-0.8","19.0","1.9","$4.3","833"
"Rip Collins","2.5","1.4","-0.8","0.6","18.7","1.8","","1002463"
"Snake Wiltse","-1.4","-2.1","-1.1","-3.2","18.1","1.8","","1014117"
"Jay Howell","-0.4","-1.1","-1.1","-2.2","16.9","1.8","","1006098"
"Al Leiter","0.4","-0.6","-0.7","-1.3","17.2","1.7","$2.5","883"
"Lance Lynn","0.4","-0.8","-0.5","-1.3","15.6","1.7","$13.9","2520"
"Duke Maas","-0.1","-0.5","-1.3","-1.8","16.7","1.7","","1007894"
"Johnny Murphy","5.4","1.9","1.7","3.7","18.4","1.7","","1009368"
"Jumbo Brown","1.0","-1.0","0.3","-0.7","17.7","1.7","","1001533"
"Danny MacFayden","1.4","-0.2","-0.1","-0.3","18.1","1.7","","1007904"
"Brandon McCarthy","1.7","-0.2","0.3","0.1","14.8","1.7","$12.7","4662"
"Bobo Newsom","3.1","0.4","1.0","1.4","15.6","1.7","","1009546"
"Bob Porterfield","1.6","0.0","0.0","0.0","16.6","1.7","","1010445"
"Pascual Perez","2.7","0.6","0.5","1.0","15.1","1.6","","1010185"
"Jerry Nops","0.8","0.3","-1.1","-0.8","16.7","1.5","","1009624"
"Charles Hudson","1.9","0.7","-0.3","0.4","15.3","1.5","","1006134"
"Jose Contreras","2.3","1.5","-0.7","0.8","14.3","1.5","$6.4","1660"
"Greg Cadaret","0.4","-1.8","0.7","-1.1","13.7","1.5","","1001810"
"Doug Drabek","1.7","0.2","0.1","0.2","14.8","1.5","","1003473"
"Dock Ellis","3.7","2.0","0.2","2.2","13.7","1.5","","1003747"
"Gerrit Cole","2.1","0.6","0.0","0.7","14.4","1.4","$11.6","13125"
"Adam Warren","1.7","0.3","0.0","0.3","12.6","1.4","$11.3","9029"
"Jim Coates","2.6","1.1","0.1","1.2","13.4","1.3","","1002374"
"Mike Witt","0.2","0.7","-1.9","-1.1","12.6","1.3","","1014174"
